Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
-1,24590,-1_day_amp_time_one,"['day', 'amp', 'time', 'one', 'travel', 'today', 'like', 'people', 'back', 'see', 'good', 'get', 'great', 'love', 'beautiful', 'go', 'last', 'ms', 'city', 'new', 'country', 'first', 'us', 'world', 'home', 'morning', 'years', 'would', 'visit', 'way']","['visit', 'trip', 'hoy', 'travel', 'nice', 'day', 'days', 'via', 'place', 'night']","['day', 'time', 'travel', 'back', 'love', 'beautiful', 'city', 'country', 'visit', 'way']","['day or night, is ...', 'reflecting on a time well spent in and ... lovely friends and beautiful memories! until next time. more photos on my facebook page happy holidays everyone! , ,', 'nice to get away for a week  travel ']"
0,3069,0_music_posted_foto_radio,"['music', 'posted', 'foto', 'radio', 'concert', 'publicar', 'photo', 'nowplaying', 'show', 'live', 'acaba', 'tonight', 'dj', 'video', 'bb', 'new', 'ger', 'song', 'amp', 'band', 'see', 'love', 'festival', 'like', 'one', 'teddy', 'time', 'night', 'get', 'great']","['foto', 'photo', 'ver', 'selfie', 'photos', 'va', 'seen', 'posted', 'see', 'hoy']","['radio', 'concert', 'nowplaying', 'show', 'tonight', 'dj', 'ger', 'song', 'band', 'festival']","['acaba de publicar una foto en de , ,', 'acaba de publicar una foto en - , ,', 'acaba de publicar una foto en -la , ,']"
1,2746,1_snow_winter_weather_sunset,"['snow', 'winter', 'weather', 'sunset', 'nature', 'beautiful', 'mountains', 'beach', 'summer', 'day', 'yacht', 'rain', 'cold', 'waterfall', 'ski', 'mountain', 'travel', 'today', 'one', 'ice', 'iceland', 'skiing', 'view', 'autumn', 'morning', 'hiking', 'like', 'night', 'sun', 'amp']","['snowy', 'winter', 'snow', 'snowing', 'weather', 'ski', 'skiing', 'cold', 'outside', 'glacier']","['snow', 'winter', 'weather', 'sunset', 'mountains', 'waterfall', 'ski', 'skiing', 'autumn', 'hiking']","['winter wonderland | back in and it seems like we brought the snow with us', 'winter is back :', 'the snow had been melting for several weeks. by last weekend the streets were mostly clear...then came the  (*) with days on non-stop snow. i\'m so ready for proper spring best translation of is ""the arse-end of winter""   ']"
2,2150,2_city_travel_art_country,"['city', 'travel', 'art', 'country', 'musei', 'museums', 'travelphotography', 'beautiful', 'castle', 'vatican', 'world', 'town', 'old', 'photography', 'one', 'place', 'smallest', 'visit', 'museum', 'history', 'trip', 'travelgram', 'architecture', 'streetphotography', 'amazing', 'instatravel', 'wanderlust', 'vaticancity', 'vaticani', 'vaticano']","['travelphotography', 'cidade', 'beautiful', 'stunning', 'ciudad', 'museos', 'museums', 'tour', 'travelgram', 'streetphotography']","['city', 'museums', 'travelphotography', 'beautiful', 'castle', 'visit', 'travelgram', 'streetphotography', 'wanderlust', 'vaticano']","['most beautiful city  ', 'more of the . vatican vaticancity    italy travel travelphotography traveling travel travelphotography travelgram instatravel instatravelgram', 'such a very beautiful museum! museums - musei i']"
3,1824,3_team_eurovision_game_win,"['team', 'eurovision', 'game', 'win', 'football', 'f1', 'race', 'final', 'league', 'match', 'games', 'cup', 'run', 'vs', 'play', 'gp', 'great', 'players', 'club', 'good', 'fans', 'running', 'season', 'world', 'first', 'rally', 'time', 'teams', 'champions', 'best']","['team', 'teams', 'soccer', 'championship', 'champions', 'championships', 'players', 'rugby', 'tournament', 'goal']","['eurovision', 'game', 'win', 'f1', 'cup', 'fans', 'rally', 'teams', 'champions', 'best']","['eurovision !', 'we are in ! team at !', 'the only football team in all of']"
4,1779,4_beer_food_coffee_wine,"['beer', 'food', 'coffee', 'wine', 'drinking', 'restaurant', 'dinner', 'fashion', 'lunch', 'ale', 'cerveza', 'shop', 'delicious', 'birra', 'craftbeer', 'one', 'amp', 'bier', 'good', 'foodie', 'pivo', 'bire', 'chocolate', 'best', 'new', 'yummy', 'love', 'pasta', 'publicis', 'like']","['pivo', 'birra', 'cerveza', 'bier', 'beer', 'brewery', 'craftbeer', 'drink', 'drinking', 'wine']","['coffee', 'wine', 'restaurant', 'dinner', 'lunch', 'craftbeer', 'foodie', 'chocolate', 'yummy', 'pasta']","['ale bier beer birra bire cerveza pivo  craftbeer - drinking a cashmere secrets by publicis', 'ale bier beer birra bire cerveza pivo  craftbeer - drinking a lemon felon ipa by publicis', 'ale bier beer birra bire cerveza pivo  craftbeer - drinking a psycho by publicis']"
5,1516,5_happy_christmas_birthday_love,"['happy', 'christmas', 'birthday', 'love', 'day', 'week', 'good', 'weekend', 'morning', 'year', 'thank', 'beautiful', 'everyone', 'new', 'th', 'today', 'greetings', 'hope', 'friends', 'great', 'time', 'friday', 'monday', 'amp', 'nice', 'feliz', 'see', 'saludos', 'hello', 'gracias']","['birthday', 'merry', 'navidad', 'christmas', 'happynewyear', 'holiday', 'amo', 'gift', 'saludos', 'holidays']","['christmas', 'birthday', 'love', 'day', 'weekend', 'greetings', 'nice', 'feliz', 'saludos', 'hello']","['  night &amp; morning christmas', 'from happy birthday too and very,very a lot good music', 'happy birthday .']"
6,1510,6_russian_ukrainian_putin_getputin,"['russian', 'ukrainian', 'putin', 'getputin', 'evilputin', 'freedomof', 'thefallofputin', 'refugees', 'military', 'nato', 'people', 'forces', 'ukrainians', 'attack', 'amp', 'russians', 'invasion', 'children', 'support', 'army', 'weapons', 'refugee', 'stop', 'nuclear', 'would', 'country', 'protest', 'troops', 'missile', 'help']","['evilputin', 'thefallofputin', 'freedomof', 'getputin', 'kyiv', 'freedom', 'ukraine', 'russians', 'ukrainians', 'missile']","['ukrainian', 'getputin', 'freedomof', 'refugees', 'ukrainians', 'russians', 'children', 'protest', 'troops', 'missile']","[' . now and what is there?? thefallofputin  getputin evilputin   freedomof ', 'destroying russian tank. thefallofputin  getputin evilputin   freedomof ', 'a russian mt-lb, captured by ukrainian forces. thefallofputin  getputin evilputin   freedomof ']"
7,1371,7_meeting_amp_conference_great,"['meeting', 'amp', 'conference', 'great', 'minister', 'today', 'president', 'climate', 'future', 'cooperation', 'innovation', 'students', 'ambassador', 'meet', 'event', 'rgmx', 'foreign', 'youth', 'project', 'security', 'business', 'forward', 'thanks', 'european', 'education', 'young', 'mxico', 'support', 'new', 'discuss']","['meeting', 'ambassador', 'discussions', 'discussion', 'conference', 'president', 'discuss', 'discussed', 'meet', 'welcome']","['meeting', 'conference', 'climate', 'future', 'cooperation', 'students', 'ambassador', 'european', 'mxico', 'discuss']","['thank you for hosting a great meeting with our nordic-baltic colleagues in today. discussions on current issues such as , climate and security, and cooperation in the and . very useful to coordinate and discuss common interests.', 'great meeting with &amp; team. we discussed  s upcoming term on the un security council and the great view of from !', 'welcome back to ,president . your nd visit to  in one year is a strong signal of support &amp; solidarity with us. we have discussed the latest developments in the region, energy security &amp; education, but also our -economic cooperation.']"
8,974,8_pope_papa_mass_francis,"['pope', 'papa', 'mass', 'francis', 'popefrancis', 'francisco', 'catholic', 'vatican', 'holy', 'vaticano', 'papafrancisco', 'god', 'papal', 'blessed', 'pray', 'church', 'blessings', 'today', 'praying', 'misa', 'vaticancity', 'dios', 'hoy', 'basilica', 'prayer', 'audience', 'paul', 'cardinal', 'lord', 'john']","['papal', 'pope', 'popes', 'popefrancis', 'vatican', 'vaticancity', 'vaticano', 'pontifical', 'catholic', 'basilica']","['pope', 'popefrancis', 'catholic', 'vatican', 'vaticano', 'papal', 'blessed', 'basilica', 'prayer', 'cardinal']","['when in see the pope', 'christmas eve mass in with pope francis', 'vatican pope']"
