Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
-1,84736,-1_amp_day_im_like,"['amp', 'day', 'im', 'like', 'one', 'time', 'get', 'today', 'love', 'go', 'back', 'see', 'good', 'great', 'home', 'new', 'people', 'got', 'going', 'last', 'happy', 'us', 'know', 'night', 'th', 'work', 'come', 'live', 'first', 'family']","['let', 'going', 'great', 'come', 'last', 'back', 'everyone', 'go', 'good', 'today']","['day', 'love', 'back', 'home', 'last', 'happy', 'come', 'live', 'first', 'family']","['damn i was looking for that match up yall let a good one go', 'im going for all the way through', 'i miss back home but there was nothing for me back home . i think i miss the feeling of being safe or the feeling of family . but i need to know i can make my safe place and im just missing my auntie , someone being here with me .. i hate being alone seriously']"
0,25115,0_love_happy_music_birthday,"['love', 'happy', 'music', 'birthday', 'day', 'amp', 'new', 'im', 'school', 'christmas', 'good', 'one', 'come', 'show', 'great', 'like', 'see', 'time', 'us', 'today', 'year', 'thank', 'back', 'get', 'know', 'god', 'morning', 'week', 'go', 'got']","['birthday', 'great', 'thanks', 'welcome', 'happy', 'everyone', 'thank', 'christmas', 'yall', 'come']","['love', 'happy', 'music', 'birthday', 'day', 'christmas', 'come', 'great', 'back', 'week']","['im in . i love', 'hey all! we have gigs in and around , this week! thanks for supporting ""live music"", have an awesome weekend, &amp; i hope to see y-o-u at a show real soon!! (please: like, share &amp; subscribe on the website - it\'s % free!).', 'happy birthday']"
1,17994,1_fire_beach_day_flight,"['fire', 'beach', 'day', 'flight', 'get', 'coffee', 'amp', 'today', 'sunset', 'new', 'trip', 'im', 'summer', 'one', 'morning', 'tickets', 'drive', 'fitness', 'time', 'beautiful', 'car', 'back', 'like', 'got', 'hair', 'go', 'good', 'beer', 'see', 'love']","['travel', 'trip', 'flight', 'sunset', 'day', 'plane', 'sunrise', 'weekend', 'flying', 'days']","['fire', 'beach', 'flight', 'sunset', 'trip', 'summer', 'morning', 'tickets', 'fitness', 'car']","['flying to in a few weeks! im so excited! first trip of ! last year i was all over the place, my ass cant be still. traveling is a must, especially at this age.', 'and a half weeks before i get on a one way flight to  please go easy on me.', 'theres no way my flight just got cancelled &amp; im stuck in another day .. no way']"
2,15312,2_trump_vote_people_state,"['trump', 'vote', 'people', 'state', 'president', 'police', 'amp', 'biden', 'election', 'governor', 'like', 'get', 'voting', 'would', 'states', 'one', 'democrats', 'black', 'republican', 'need', 'dont', 'law', 'country', 'think', 'voters', 'us', 'republicans', 'right', 'know', 'media']","['voters', 'election', 'ballots', 'voting', 'vote', 'ballot', 'elected', 'voted', 'votes', 'president']","['trump', 'police', 'election', 'governor', 'voting', 'states', 'voters', 'republicans', 'know', 'media']","[""i'm at president &amp; in ,"", ', knows that only president trump will put first. and thats why theyre going to help deliver the again in days for our president &amp; ', '/ residents get out and vote. you can vote by mail, early and in-person at vote centers beginning today or at the polls (51 vote centers) days before and election day, november . | see below for vote center times/locations.']"
3,9838,3_game_team_win_play,"['game', 'team', 'win', 'play', 'vs', 'baseball', 'football', 'season', 'teams', 'hes', 'games', 'like', 'year', 'basketball', 'get', 'first', 'good', 'go', 'one', 'last', 'would', 'think', 'going', 'time', 'amp', 'fans', 'beat', 'back', 'tonight', 'im']","['game', 'playoffs', 'players', 'nfl', 'games', 'playing', 'played', 'play', 'football', 'player']","['game', 'win', 'baseball', 'football', 'season', 'teams', 'basketball', 'first', 'go', 'fans']","['game is still -0. lights out, looks like there will be a slight game delay. when in', 'fun game to see the players in s tonight.', '. for the usc game this saturday &amp; for the game. yet another week we can actually watch asu! win or lose, its been a good season to actually be able to see on tv.']"
4,7722,4_traffic_exit_accident_construction,"['traffic', 'exit', 'accident', 'construction', 'cleared', 'nb', 'sb', 'blocked', 'incident', 'eb', 'wb', 'rd', 'lane', 'back', 'updated', 'directions', 'st', 'stop', 'reported', 'stopped', 'dfwtraffic', 'lanes', 'closed', 'go', 'blvd', 'left', 'right', 'pdx911', 'south', 'north']","['traffic', 'accident', 'road', 'lanes', 'lane', 'i87northway', 'vehicle', 'crash', 'exit', 'route']","['traffic', 'exit', 'accident', 'construction', 'cleared', 'sb', 'blocked', 'directions', 'dfwtraffic', 'lanes']","['accident. right lane blocked in  on at , stop and go traffic back to traffic', 'accident. one lane blocked in  on rt-21 sb at rd ave, stopped traffic back to exit / traffic', 'accident, right lane blocked in  on eb between / / and , stop and go traffic back to / / traffic']"
5,5948,5_reports_snow_inch_pm,"['reports', 'snow', 'inch', 'pm', 'rain', 'tstm', 'wnd', 'cdt', '00', 'forecast', 'co', 'hi', 'edt', 'est', 'thunderstorm', 'warning', 'public', 'severe', 'station', 'heavy', 'cst', 'gst', 'mph', 'tonight', 'dmg', 'storm', 'spotter', 'observer', 'non', 'mdt']","['snowfall', 'snow', 'snowing', 'winter', 'cold', 'weather', 'ice', 'mph', 'forecast', 'storm']","['snow', 'rain', 'cdt', 'forecast', 'thunderstorm', 'warning', 'station', 'gst', 'mph', 'storm']","['at :00 am cst, w [ co, ] trained spotter reports snow of inch', 'at :30 pm est, n [ , ] trained spotter reports snow of inch', 'at :00 am cst, [ , ] public reports snow of inch']"
6,4069,6_food_pizza_dinner_chicken,"['food', 'pizza', 'dinner', 'chicken', 'lunch', 'poisoning', 'tacos', 'breakfast', 'taco', 'eat', 'restaurant', 'diarrhea', 'delicious', 'amp', 'burger', 'best', 'good', 'nausea', 'vomiting', 'salad', 'cheese', 'sandwich', 'eating', 'steak', 'yummy', 'meal', 'beef', 'ate', 'pork', 'cake']","['pizza', 'food', 'dish', 'foodie', 'meal', 'yummy', 'burrito', 'eat', 'foodporn', 'ate']","['food', 'pizza', 'lunch', 'tacos', 'burger', 'vomiting', 'salad', 'eating', 'yummy', 'meal']","[""domino's pizza - , - i ordered cheesy bread and pizza at pm. went to bed at . i woke at am vomiting orange. food poisoning dominospizza nausea vomiting"", 'shake shack - , - ate the hot honey chicken sandwich at lunch, no other food before experiencing diarrhea around dinnertime. i know it was from ther... food poisoning', 'its good food in ?']"
7,2448,7_dog_cat_catsofinstagram_dogsofinstagram,"['dog', 'cat', 'catsofinstagram', 'dogsofinstagram', 'dogs', 'cats', 'puppy', 'quarantine', 'birds', 'cleaning', 'pet', 'bird', 'kitty', 'day', 'pup', 'love', 'adoptdontshop', 'little', 'rescue', 'clean', 'happy', 'pets', 'today', 'like', 'kitten', 'morning', 'puppylove', 'animal', 'home', 'one']","['doggy', 'dog', 'doggo', 'dogslife', 'pug', 'puppylove', 'terrier', 'rescuedog', 'dogs', 'pets']","['catsofinstagram', 'dogsofinstagram', 'cats', 'cleaning', 'kitty', 'pets', 'today', 'kitten', 'puppylove', 'home']","['my happy girl! dog dogsofinstagram rescuedog furbaby dogmom happy grateful ,', 'lazy dog day ,', 'dog walk : : : : : life nyc  dog dogsofinstagram family johndemsey coachjakob lifestyle ,']"
8,2353,8_posted_photo_art_video,"['posted', 'photo', 'art', 'video', 'painting', 'artist', 'mural', 'film', 'hollywood', 'museum', 'streetart', 'youtube', 'movie', 'new', 'paint', 'drawing', 'graffiti', 'artwork', 'publicar', 'gallery', 'foto', 'amp', 'photography', 'photographer', 'actor', 'watercolor', 'canvas', 'illustration', 'love', 'acaba']","['foto', 'photo', 'picture', 'posted', 'pics', 'photos', 'pictures', 'post', 'see', 'photography']","['video', 'painting', 'artist', 'mural', 'streetart', 'graffiti', 'artwork', 'gallery', 'photographer', 'watercolor']","['just posted a photo / - ,', 'just posted a photo , , ,', 'just posted a photo on']"
