Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
-1,84736,-1_amp_im_day_like,"['amp', 'im', 'day', 'like', 'one', 'time', 'get', 'today', 'love', 'go']","['going', 'weekend', 'let', 'go', 'got', 'back', 'yall', 'come', 'place', 'last']","['day', 'one', 'love', 'home', 'night', 'people', 'happy', 'live', 'come', 'city']","['damn i was looking for that match up yall let a good one go', 'im going for all the way through', 'i miss back home but there was nothing for me back home . i think i miss the feeling of being safe or the feeling of family . but i need to know i can make my safe place and im just missing my auntie , someone being here with me .. i hate being alone seriously']"
0,15045,0_trump_vote_president_state,"['trump', 'vote', 'president', 'state', 'people', 'biden', 'police', 'election', 'governor', 'voting']","['election', 'elected', 'voters', 'voter', 'voting', 'voted', 'vote', 'ballots', 'votes', 'ballot']","['trump', 'vote', 'election', 'governor', 'voting', 'voters', 'republicans', 'voted', 'votes', 'mayor']","[""the police officer didn't say anything different from what president trump has already said about the blm terrorists. firing her was a poor political decision."", 'i as a republican and a citizen of the great agree that congress should be allowed at least days to read any bills before voting. i also believe that republicans and democrats in congress are a bunch of idiots for voting on anything they have not read , stupid !!', 'trump wouldnt win a senate race i lol. hasnt been blue in what, years and it was the closest election in that span. it would be one of those elections where the college could pay off for him like it did for trump']"
1,7658,1_niggas_nigga_shit_fuck,"['niggas', 'nigga', 'shit', 'fuck', 'im', 'lol', 'dont', 'ass', 'like', 'hate']","['niggas', 'nigga', 'bitches', 'fuck', 'bitch', 'yall', 'fucked', 'fucking', 'shit', 'gotta']","['niggas', 'shit', 'fuck', 'dont', 'hate', 'got', 'bitch', 'yall', 'sucks', 'bitches']","['niggas so country', 'yall north niggas lol', 'i dont like niggas for that very reason.']"
2,5011,2_game_team_win_football,"['game', 'team', 'win', 'football', 'teams', 'vs', 'games', 'season', 'play', 'beat']","['game', 'gameday', 'players', 'nfl', 'team', 'playoffs', 'playoff', 'teams', 'games', 'football']","['game', 'win', 'football', 'teams', 'championship', 'playoffs', 'tournament', 'nfl', 'players', 'score']","[""when will get a football team that doesn't play in ?"", 'good game', 'is going to win this game']"
3,3440,3_music_concert_hiphop_song,"['music', 'concert', 'hiphop', 'song', 'album', 'band', 'rap', 'dj', 'new', 'artist']","['music', 'songs', 'song', 'livemusic', 'tunes', 'musicians', 'concerts', 'band', 'bands', 'concert']","['music', 'concert', 'hiphop', 'dj', 'newmusic', 'jazz', 'livemusic', 'songs', 'rock', 'soundcloud']","[', but probably music city.', 'i really miss live music. the last band i saw perform live was at the fair a very long time ago.', 'sounds like the making of a country music song, you should be in .']"
4,3001,4_dinner_food_lunch_chicken,"['dinner', 'food', 'lunch', 'chicken', 'breakfast', 'restaurant', 'burger', 'eat', 'delicious', 'salad']","['lunch', 'dinner', 'diner', 'meal', 'breakfast', 'eating', 'eat', 'brunch', 'food', 'snack']","['dinner', 'food', 'lunch', 'restaurant', 'salad', 'yummy', 'sandwich', 'meal', 'burgers', 'menu']","['having lunch (at in , )', 'dinner time... ,', 'dinner. ,']"
5,2512,5_school_schools_students_teachers,"['school', 'schools', 'students', 'teachers', 'education', 'teacher', 'high', 'university', 'college', 'community']","['schools', 'teachers', 'school', 'educators', 'teaching', 'teacher', 'classroom', 'education', 'students', 'teach']","['schools', 'students', 'teachers', 'teacher', 'community', 'meeting', 'kids', 'volunteer', 'educators', 'leaders']","['two closed schools could get new life. from', 'so excited to see students in getting into math the very first week of school!! off to a great start!', 'govbrown they will end the year mostly at home since you have destroyed education in . beaverton school district is looking at students having days in person total this school year before summer. education? your sick joke.']"
6,2098,6_construction_exit_directions_cleared,"['construction', 'exit', 'directions', 'cleared', 'updated', 'closure', 'sb', 'nb', 'eb', 'wb']","['exit', 'directions', 'southbound', 'route', 'westbound', 'northbound', 'highway', 'construction', 'bridge', 'cleared']","['construction', 'exit', 'directions', 'cleared', 'closure', 'route', 'i87northway', 'ramp', 'road', 'gardenstateparkway']","['construction on  both directions at exit - ;', 'cleared: construction on  both directions from exit - a to', 'cleared: construction on  both directions from exit e - ; to exit - -']"
7,1780,7_hes_guy_man_like,"['hes', 'guy', 'man', 'like', 'dude', 'know', 'lol', 'im', 'met', 'lives']","['guy', 'dude', 'hes', 'mr', 'man', 'isnt', 'gonna', 'aint', 'talking', 'dont']","['guy', 'man', 'dude', 'lives', 'thought', 'still', 'never', 'got', 'didnt', 'talking']","['i dont think hes in anymore', 'hes actually from but not the area', 'me and are gonna take to next time hes in']"
8,1762,8_church_god_jesus_lord,"['church', 'god', 'jesus', 'lord', 'worship', 'prayer', 'faith', 'pray', 'christ', 'prayers']","['worship', 'church', 'god', 'churches', 'pastors', 'pastor', 'holy', 'bless', 'christian', 'blessed']","['church', 'lord', 'worship', 'prayer', 'christ', 'prayers', 'pastor', 'praying', 'bless', 'holy']","['getting ready to worship jesus ( first baptist church in valley, )', ""church day and father's day today. god bless ,"", 'just posted a photo first church of god']"
