AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
0.0,0.0,14.0,7.0,11.0,24.0,72.0,15.0,5.0,6.0,1.0,2.0,140.0,33.0,7.0,2.0,11.0,10.0,85.0,3.0,0.0,1.0,2.0,27.0,7.0,12.0,0.0,25.0,9.0,7.0,8.0,5.0,4.0,94.0,1.0,59.0,3.0,1.0,26.0,10.0,9.0,76.0,83.0,103.0,104.0
1.0,0.0,6.0,0.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,127.0,18.0,3.0,2.0,6.0,6.0,37.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,3.0,5.0,13.0,2.0,15.0,2.0,1.0,0.0,2.0,390.0,5.0,8.0,8.0,13.0,44.0,4.0
0.0,1.0,0.0,4.0,22.0,4.0,1.0,4.0,15.0,6.0,4.0,6.0,63.0,90.0,1.0,17.0,1.0,8.0,53.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,9.0,10.0,13.0,5.0,5.0,38.0,1.0,1.0,10.0,4.0,46.0,2.0,13.0,34.0,42.0,144.0,6.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,6.0,1.0
3.0,1.0,5.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,175.0,38.0,0.0,8.0,3.0,17.0,36.0,1.0,1.0,2.0,10.0,0.0,2.0,4.0,0.0,0.0,38.0,7.0,12.0,10.0,1.0,30.0,0.0,1.0,0.0,1.0,40.0,6.0,4.0,9.0,20.0,98.0,11.0
7.0,0.0,3.0,0.0,0.0,0.0,18.0,17.0,1.0,0.0,0.0,7.0,47.0,9.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,1.0,0.0,5.0,2.0,1.0,11.0,0.0,11.0,3.0,7.0,11.0,2.0,1.0,14.0,11.0,24.0,0.0
1.0,0.0,3.0,2.0,1.0,2.0,0.0,5.0,2.0,2.0,2.0,1.0,58.0,26.0,0.0,9.0,1.0,5.0,28.0,0.0,0.0,0.0,3.0,1.0,6.0,4.0,0.0,2.0,2.0,1.0,7.0,5.0,10.0,14.0,0.0,7.0,0.0,1.0,46.0,4.0,8.0,9.0,18.0,89.0,11.0
3.0,0.0,8.0,2.0,7.0,10.0,23.0,0.0,14.0,1.0,2.0,3.0,49.0,18.0,0.0,6.0,4.0,10.0,40.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,10.0,8.0,2.0,10.0,1.0,9.0,1.0,4.0,26.0,5.0,7.0,3.0,21.0,57.0,4.0
1.0,0.0,13.0,5.0,8.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,34.0,37.0,1.0,0.0,0.0,2.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,12.0,3.0,3.0,14.0,0.0,3.0,7.0,0.0,23.0,2.0,12.0,2.0,42.0,45.0,3.0
4.0,0.0,1.0,0.0,7.0,0.0,3.0,1.0,4.0,0.0,2.0,12.0,75.0,28.0,0.0,3.0,10.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,16.0,6.0,5.0,2.0,45.0,0.0,0.0,3.0,1.0,35.0,42.0,8.0,8.0,55.0,114.0,1.0
0.0,0.0,6.0,9.0,8.0,1.0,0.0,1.0,19.0,12.0,0.0,71.0,100.0,40.0,0.0,8.0,3.0,15.0,39.0,30.0,0.0,9.0,0.0,0.0,1.0,5.0,1.0,0.0,14.0,10.0,18.0,4.0,19.0,121.0,1.0,3.0,2.0,1.0,22.0,9.0,2.0,11.0,118.0,97.0,3.0
1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,37.0,18.0,0.0,2.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,6.0,6.0,5.0,5.0,0.0,34.0,0.0,1.0,1.0,0.0,17.0,26.0,2.0,10.0,27.0,43.0,4.0
0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,1.0,1.0,14.0,0.0,4.0,1.0,2.0,54.0,8.0
0.0,0.0,7.0,5.0,11.0,1.0,0.0,5.0,4.0,2.0,0.0,3.0,46.0,0.0,0.0,2.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,3.0,5.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,31.0,2.0,8.0,9.0,23.0,62.0,2.0
5.0,0.0,29.0,1.0,16.0,4.0,11.0,3.0,8.0,3.0,0.0,3.0,66.0,48.0,0.0,5.0,2.0,9.0,5378.0,3.0,0.0,9.0,1.0,3.0,3.0,3.0,0.0,0.0,15.0,3.0,11.0,7.0,23.0,17.0,0.0,3.0,2.0,4.0,110.0,3.0,9.0,12.0,37.0,110.0,11.0
0.0,0.0,19.0,2.0,11.0,0.0,1.0,13.0,14.0,0.0,0.0,5.0,66.0,37.0,0.0,0.0,1.0,7.0,22.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,2.0,7.0,3.0,15.0,4.0,8.0,18.0,0.0,4.0,11.0,3.0,42.0,3.0,4.0,15.0,32.0,98.0,3.0
0.0,0.0,2.0,3.0,6.0,1.0,1.0,3.0,2.0,12.0,0.0,5.0,62.0,16.0,0.0,0.0,0.0,19.0,8.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,10.0,16.0,12.0,3.0,2.0,157.0,0.0,0.0,2.0,1.0,21.0,9.0,1.0,5.0,218.0,81.0,2.0
1.0,0.0,3.0,3.0,11.0,1.0,3.0,5.0,4.0,6.0,2.0,4.0,171.0,16.0,4.0,3.0,3.0,0.0,33.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,13.0,4.0,4.0,5.0,4.0,34.0,0.0,1.0,3.0,1.0,32.0,6.0,4.0,6.0,43.0,460.0,7.0
1.0,0.0,5.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,28.0,7.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,6.0,3.0,7.0,1.0,0.0,0.0,0.0,18.0,1.0,6.0,4.0,9.0,29.0,4.0
0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,20.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,38.0,0.0,1.0,0.0,1.0,13.0,5.0,2.0,1.0,32.0,24.0,2.0
2.0,0.0,86.0,3.0,16.0,0.0,1.0,4.0,5.0,2.0,1.0,7.0,89.0,115.0,0.0,5.0,4.0,10.0,70.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,9.0,5.0,8.0,6.0,12.0,18.0,0.0,0.0,2.0,1.0,95.0,15.0,458.0,5.0,32.0,47.0,3.0
2.0,0.0,2.0,44.0,8.0,3.0,2.0,3.0,6.0,16.0,20.0,8.0,97.0,20.0,1.0,2.0,2.0,15.0,27.0,34.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,8.0,6.0,33.0,12.0,3.0,86.0,0.0,9.0,4.0,2.0,67.0,8.0,1.0,14.0,99.0,91.0,5.0
3.0,3.0,4.0,9.0,43.0,1.0,0.0,5.0,4.0,10.0,2.0,4.0,261.0,62.0,0.0,17.0,4.0,45.0,50.0,1.0,0.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,17.0,12.0,8.0,52.0,1.0,34.0,4.0,11.0,0.0,4.0,49.0,8.0,12.0,12.0,41.0,159.0,7.0
6.0,0.0,5.0,2.0,2.0,2.0,32.0,4.0,2.0,1.0,0.0,1.0,28.0,6.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,12.0,0.0,11.0,1.0,3.0,7.0,1.0,2.0,8.0,1.0,18.0,8.0
2.0,1.0,5.0,1.0,8.0,0.0,5.0,8.0,3.0,1.0,2.0,3.0,130.0,43.0,1.0,7.0,38.0,23.0,142.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,10.0,14.0,5.0,23.0,1.0,4.0,0.0,0.0,73.0,9.0,10.0,17.0,17.0,318.0,14.0
1.0,0.0,4.0,3.0,8.0,6.0,16.0,4.0,4.0,1.0,2.0,6.0,80.0,14.0,0.0,8.0,0.0,8.0,15.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,23.0,0.0,67.0,112.0,0.0,10.0,1.0,4.0,19.0,14.0,3.0,7.0,368.0,45.0,2.0
