AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
0.0,0.0,14.0,7.0,11.0,22.0,69.0,15.0,4.0,6.0,0.0,2.0,137.0,31.0,7.0,2.0,11.0,10.0,79.0,3.0,0.0,1.0,2.0,26.0,7.0,12.0,0.0,23.0,8.0,7.0,7.0,5.0,3.0,81.0,1.0,52.0,3.0,1.0,26.0,10.0,8.0,68.0,62.0,99.0,93.0
1.0,0.0,6.0,0.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,127.0,17.0,1.0,2.0,6.0,6.0,37.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,3.0,5.0,13.0,2.0,14.0,2.0,1.0,0.0,2.0,386.0,5.0,8.0,7.0,10.0,43.0,4.0
0.0,1.0,0.0,4.0,22.0,3.0,1.0,3.0,15.0,6.0,4.0,5.0,63.0,90.0,1.0,17.0,1.0,8.0,52.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,9.0,10.0,13.0,5.0,5.0,33.0,1.0,1.0,10.0,4.0,45.0,2.0,13.0,34.0,36.0,144.0,6.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,6.0,1.0
3.0,1.0,5.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,174.0,36.0,0.0,8.0,3.0,16.0,36.0,1.0,1.0,2.0,10.0,0.0,2.0,2.0,0.0,0.0,38.0,7.0,12.0,10.0,1.0,23.0,0.0,1.0,0.0,1.0,40.0,6.0,4.0,8.0,14.0,96.0,11.0
7.0,0.0,3.0,0.0,0.0,0.0,18.0,16.0,1.0,0.0,0.0,7.0,47.0,9.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,1.0,0.0,5.0,2.0,1.0,9.0,0.0,11.0,3.0,7.0,11.0,2.0,1.0,13.0,9.0,24.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,2.0,2.0,1.0,57.0,25.0,0.0,9.0,1.0,5.0,28.0,0.0,0.0,0.0,3.0,1.0,6.0,4.0,0.0,1.0,2.0,1.0,7.0,5.0,10.0,12.0,0.0,7.0,0.0,1.0,46.0,4.0,8.0,7.0,11.0,86.0,11.0
3.0,0.0,8.0,2.0,7.0,10.0,23.0,0.0,14.0,1.0,2.0,3.0,49.0,18.0,0.0,6.0,4.0,10.0,38.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,10.0,7.0,2.0,9.0,1.0,8.0,1.0,4.0,26.0,5.0,7.0,3.0,16.0,57.0,4.0
1.0,0.0,13.0,4.0,8.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,32.0,36.0,1.0,0.0,0.0,2.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,12.0,3.0,3.0,13.0,0.0,2.0,7.0,0.0,23.0,2.0,12.0,2.0,31.0,44.0,3.0
4.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,4.0,0.0,2.0,12.0,74.0,27.0,0.0,3.0,10.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,16.0,6.0,5.0,2.0,33.0,0.0,0.0,3.0,1.0,34.0,41.0,8.0,8.0,42.0,111.0,1.0
0.0,0.0,6.0,8.0,8.0,1.0,0.0,1.0,18.0,12.0,0.0,70.0,99.0,37.0,0.0,6.0,3.0,15.0,39.0,30.0,0.0,8.0,0.0,0.0,1.0,4.0,1.0,0.0,13.0,10.0,15.0,4.0,18.0,102.0,1.0,3.0,2.0,1.0,21.0,9.0,2.0,10.0,90.0,92.0,3.0
1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,37.0,16.0,0.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,6.0,5.0,5.0,5.0,0.0,25.0,0.0,1.0,1.0,0.0,16.0,26.0,2.0,9.0,18.0,42.0,4.0
0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,1.0,1.0,14.0,0.0,4.0,1.0,0.0,52.0,7.0
0.0,0.0,7.0,5.0,11.0,1.0,0.0,5.0,4.0,2.0,0.0,3.0,45.0,0.0,0.0,2.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,3.0,5.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,31.0,2.0,8.0,8.0,17.0,62.0,2.0
5.0,0.0,23.0,0.0,11.0,3.0,9.0,2.0,6.0,3.0,0.0,3.0,59.0,34.0,0.0,2.0,2.0,7.0,4858.0,3.0,0.0,9.0,1.0,2.0,3.0,3.0,0.0,0.0,13.0,3.0,7.0,5.0,19.0,9.0,0.0,2.0,2.0,4.0,84.0,3.0,8.0,10.0,20.0,83.0,9.0
0.0,0.0,19.0,2.0,11.0,0.0,1.0,12.0,14.0,0.0,0.0,5.0,65.0,35.0,0.0,0.0,1.0,6.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,2.0,7.0,3.0,14.0,4.0,8.0,17.0,0.0,3.0,11.0,3.0,42.0,3.0,4.0,12.0,25.0,97.0,3.0
0.0,0.0,2.0,2.0,6.0,1.0,1.0,3.0,1.0,11.0,0.0,5.0,61.0,16.0,0.0,0.0,0.0,19.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,10.0,15.0,11.0,3.0,2.0,140.0,0.0,0.0,2.0,0.0,19.0,9.0,1.0,5.0,139.0,79.0,2.0
1.0,0.0,3.0,3.0,11.0,1.0,3.0,5.0,4.0,6.0,2.0,4.0,169.0,16.0,3.0,3.0,3.0,0.0,33.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,13.0,4.0,4.0,5.0,4.0,28.0,0.0,1.0,3.0,0.0,32.0,6.0,4.0,6.0,34.0,456.0,6.0
