ISO 2,count,flux_num,flux_percentage
AL,,2222.0,
AD,1.0,2222.0,0.045004500450045004
AT,1506.0,2222.0,67.77677767776777
BY,4.0,2222.0,0.18001800180018002
BE,23.0,2222.0,1.035103510351035
BA,4.0,2222.0,0.18001800180018002
BG,1.0,2222.0,0.045004500450045004
HR,4.0,2222.0,0.18001800180018002
CZ,16.0,2222.0,0.7200720072007201
DK,6.0,2222.0,0.27002700270027
EE,4.0,2222.0,0.18001800180018002
FI,6.0,2222.0,0.27002700270027
FR,65.0,2222.0,2.9252925292529253
DE,91.0,2222.0,4.095409540954095
VA,1.0,2222.0,0.045004500450045004
HU,17.0,2222.0,0.7650765076507651
IS,1.0,2222.0,0.045004500450045004
IE,8.0,2222.0,0.36003600360036003
IT,53.0,2222.0,2.385238523852385
LV,,2222.0,
LI,3.0,2222.0,0.135013501350135
LT,,2222.0,
LU,,2222.0,
MK,,2222.0,
MT,5.0,2222.0,0.22502250225022502
MD,2.0,2222.0,0.09000900090009001
MC,2.0,2222.0,0.09000900090009001
ME,1.0,2222.0,0.045004500450045004
NL,9.0,2222.0,0.40504050405040504
NO,10.0,2222.0,0.45004500450045004
PL,13.0,2222.0,0.585058505850585
PT,5.0,2222.0,0.22502250225022502
RO,5.0,2222.0,0.22502250225022502
RU,41.0,2222.0,1.8451845184518452
SM,1.0,2222.0,0.045004500450045004
RS,2.0,2222.0,0.09000900090009001
SK,10.0,2222.0,0.45004500450045004
SI,4.0,2222.0,0.18001800180018002
ES,48.0,2222.0,2.16021602160216
SE,2.0,2222.0,0.09000900090009001
CH,13.0,2222.0,0.585058505850585
TR,34.0,2222.0,1.5301530153015301
UA,43.0,2222.0,1.935193519351935
GB,152.0,2222.0,6.840684068406841
GR,6.0,2222.0,0.27002700270027
