ISO 2,count,flux_num,flux_percentage
AL,7.0,1049.0,0.667302192564347
AD,,1049.0,
AT,3.0,1049.0,0.2859866539561487
BY,,1049.0,
BE,,1049.0,
BA,807.0,1049.0,76.930409914204
BG,18.0,1049.0,1.7159199237368923
HR,17.0,1049.0,1.6205910390848426
CZ,1.0,1049.0,0.09532888465204957
DK,,1049.0,
EE,,1049.0,
FI,7.0,1049.0,0.667302192564347
FR,49.0,1049.0,4.671115347950429
DE,9.0,1049.0,0.8579599618684461
VA,,1049.0,
HU,2.0,1049.0,0.19065776930409914
IS,,1049.0,
IE,1.0,1049.0,0.09532888465204957
IT,12.0,1049.0,1.1439466158245948
LV,,1049.0,
LI,,1049.0,
LT,,1049.0,
LU,,1049.0,
MK,1.0,1049.0,0.09532888465204957
MT,1.0,1049.0,0.09532888465204957
MD,2.0,1049.0,0.19065776930409914
MC,,1049.0,
ME,8.0,1049.0,0.7626310772163966
NL,1.0,1049.0,0.09532888465204957
NO,,1049.0,
PL,5.0,1049.0,0.47664442326024786
PT,2.0,1049.0,0.19065776930409914
RO,1.0,1049.0,0.09532888465204957
RU,11.0,1049.0,1.0486177311725453
SM,,1049.0,
RS,11.0,1049.0,1.0486177311725453
SK,3.0,1049.0,0.2859866539561487
SI,7.0,1049.0,0.667302192564347
ES,11.0,1049.0,1.0486177311725453
SE,2.0,1049.0,0.19065776930409914
CH,1.0,1049.0,0.09532888465204957
TR,14.0,1049.0,1.334604385128694
UA,11.0,1049.0,1.0486177311725453
GB,24.0,1049.0,2.2878932316491896
GR,,1049.0,
