ISO 2,count,flux_num,flux_percentage
AL,1.0,1617.0,0.06184291898577613
AD,,1617.0,
AT,3.0,1617.0,0.1855287569573284
BY,2.0,1617.0,0.12368583797155226
BE,1.0,1617.0,0.06184291898577613
BA,2.0,1617.0,0.12368583797155226
BG,1206.0,1617.0,74.58256029684601
HR,5.0,1617.0,0.30921459492888065
CZ,2.0,1617.0,0.12368583797155226
DK,2.0,1617.0,0.12368583797155226
EE,2.0,1617.0,0.12368583797155226
FI,1.0,1617.0,0.06184291898577613
FR,59.0,1617.0,3.6487322201607912
DE,27.0,1617.0,1.6697588126159555
VA,,1617.0,
HU,10.0,1617.0,0.6184291898577613
IS,1.0,1617.0,0.06184291898577613
IE,5.0,1617.0,0.30921459492888065
IT,28.0,1617.0,1.7316017316017316
LV,,1617.0,
LI,,1617.0,
LT,,1617.0,
LU,3.0,1617.0,0.1855287569573284
MK,1.0,1617.0,0.06184291898577613
MT,6.0,1617.0,0.3710575139146568
MD,4.0,1617.0,0.24737167594310452
MC,,1617.0,
ME,2.0,1617.0,0.12368583797155226
NL,2.0,1617.0,0.12368583797155226
NO,1.0,1617.0,0.06184291898577613
PL,7.0,1617.0,0.4329004329004329
PT,5.0,1617.0,0.30921459492888065
RO,10.0,1617.0,0.6184291898577613
RU,15.0,1617.0,0.927643784786642
SM,,1617.0,
RS,7.0,1617.0,0.4329004329004329
SK,,1617.0,
SI,1.0,1617.0,0.06184291898577613
ES,46.0,1617.0,2.8447742733457018
SE,4.0,1617.0,0.24737167594310452
CH,8.0,1617.0,0.49474335188620905
TR,9.0,1617.0,0.5565862708719851
UA,18.0,1617.0,1.1131725417439702
GB,100.0,1617.0,6.184291898577613
GR,11.0,1617.0,0.6802721088435374
