ISO 2,count,flux_num,flux_percentage
AL,,350.0,
AD,1.0,350.0,0.2857142857142857
AT,1.0,350.0,0.2857142857142857
BY,299.0,350.0,85.42857142857143
BE,,350.0,
BA,,350.0,
BG,1.0,350.0,0.2857142857142857
HR,,350.0,
CZ,1.0,350.0,0.2857142857142857
DK,,350.0,
EE,,350.0,
FI,,350.0,
FR,9.0,350.0,2.571428571428571
DE,2.0,350.0,0.5714285714285714
VA,,350.0,
HU,,350.0,
IS,,350.0,
IE,,350.0,
IT,3.0,350.0,0.8571428571428572
LV,,350.0,
LI,,350.0,
LT,1.0,350.0,0.2857142857142857
LU,,350.0,
MK,,350.0,
MT,,350.0,
MD,1.0,350.0,0.2857142857142857
MC,,350.0,
ME,,350.0,
NL,,350.0,
NO,,350.0,
PL,5.0,350.0,1.4285714285714286
PT,,350.0,
RO,1.0,350.0,0.2857142857142857
RU,8.0,350.0,2.2857142857142856
SM,,350.0,
RS,,350.0,
SK,,350.0,
SI,,350.0,
ES,2.0,350.0,0.5714285714285714
SE,1.0,350.0,0.2857142857142857
CH,1.0,350.0,0.2857142857142857
TR,1.0,350.0,0.2857142857142857
UA,4.0,350.0,1.1428571428571428
GB,7.0,350.0,2.0
GR,1.0,350.0,0.2857142857142857
