ISO 2,count,flux_num,flux_percentage
AL,1.0,2150.0,0.046511627906976744
AD,1.0,2150.0,0.046511627906976744
AT,20.0,2150.0,0.9302325581395349
BY,1.0,2150.0,0.046511627906976744
BE,10.0,2150.0,0.46511627906976744
BA,,2150.0,
BG,,2150.0,
HR,8.0,2150.0,0.37209302325581395
CZ,5.0,2150.0,0.23255813953488372
DK,5.0,2150.0,0.23255813953488372
EE,,2150.0,
FI,1.0,2150.0,0.046511627906976744
FR,113.0,2150.0,5.2558139534883725
DE,49.0,2150.0,2.27906976744186
VA,3.0,2150.0,0.13953488372093023
HU,4.0,2150.0,0.18604651162790697
IS,4.0,2150.0,0.18604651162790697
IE,5.0,2150.0,0.23255813953488372
IT,55.0,2150.0,2.558139534883721
LV,1.0,2150.0,0.046511627906976744
LI,1.0,2150.0,0.046511627906976744
LT,2.0,2150.0,0.09302325581395349
LU,1.0,2150.0,0.046511627906976744
MK,1.0,2150.0,0.046511627906976744
MT,,2150.0,
MD,15.0,2150.0,0.6976744186046512
MC,1.0,2150.0,0.046511627906976744
ME,,2150.0,
NL,7.0,2150.0,0.32558139534883723
NO,7.0,2150.0,0.32558139534883723
PL,21.0,2150.0,0.9767441860465116
PT,18.0,2150.0,0.8372093023255814
RO,1.0,2150.0,0.046511627906976744
RU,28.0,2150.0,1.302325581395349
SM,1.0,2150.0,0.046511627906976744
RS,,2150.0,
SK,11.0,2150.0,0.5116279069767441
SI,2.0,2150.0,0.09302325581395349
ES,63.0,2150.0,2.9302325581395348
SE,8.0,2150.0,0.37209302325581395
CH,1504.0,2150.0,69.95348837209302
TR,20.0,2150.0,0.9302325581395349
UA,46.0,2150.0,2.1395348837209305
GB,98.0,2150.0,4.55813953488372
GR,8.0,2150.0,0.37209302325581395
