ISO 2,count,flux_num,flux_percentage
AL,1.0,1027.0,0.09737098344693282
AD,,1027.0,
AT,13.0,1027.0,1.2658227848101267
BY,5.0,1027.0,0.4868549172346641
BE,8.0,1027.0,0.7789678675754625
BA,1.0,1027.0,0.09737098344693282
BG,1.0,1027.0,0.09737098344693282
HR,6.0,1027.0,0.5842259006815969
CZ,710.0,1027.0,69.1333982473223
DK,3.0,1027.0,0.2921129503407984
EE,,1027.0,
FI,,1027.0,
FR,34.0,1027.0,3.3106134371957157
DE,38.0,1027.0,3.700097370983447
VA,1.0,1027.0,0.09737098344693282
HU,1.0,1027.0,0.09737098344693282
IS,,1027.0,
IE,2.0,1027.0,0.19474196689386564
IT,11.0,1027.0,1.071080817916261
LV,3.0,1027.0,0.2921129503407984
LI,,1027.0,
LT,2.0,1027.0,0.19474196689386564
LU,,1027.0,
MK,,1027.0,
MT,,1027.0,
MD,2.0,1027.0,0.19474196689386564
MC,,1027.0,
ME,1.0,1027.0,0.09737098344693282
NL,5.0,1027.0,0.4868549172346641
NO,3.0,1027.0,0.2921129503407984
PL,12.0,1027.0,1.1684518013631937
PT,3.0,1027.0,0.2921129503407984
RO,3.0,1027.0,0.2921129503407984
RU,14.0,1027.0,1.3631937682570594
SM,,1027.0,
RS,3.0,1027.0,0.2921129503407984
SK,7.0,1027.0,0.6815968841285297
SI,,1027.0,
ES,24.0,1027.0,2.3369036027263874
SE,2.0,1027.0,0.19474196689386564
CH,12.0,1027.0,1.1684518013631937
TR,2.0,1027.0,0.19474196689386564
UA,42.0,1027.0,4.089581304771178
GB,49.0,1027.0,4.771178188899708
GR,3.0,1027.0,0.2921129503407984
