ISO 2,count,flux_num,flux_percentage
AL,,1164.0,
AD,,1164.0,
AT,7.0,1164.0,0.6013745704467355
BY,5.0,1164.0,0.429553264604811
BE,11.0,1164.0,0.9450171821305842
BA,1.0,1164.0,0.0859106529209622
BG,,1164.0,
HR,5.0,1164.0,0.429553264604811
CZ,4.0,1164.0,0.3436426116838488
DK,2.0,1164.0,0.1718213058419244
EE,,1164.0,
FI,3.0,1164.0,0.25773195876288657
FR,48.0,1164.0,4.123711340206185
DE,873.0,1164.0,75.0
VA,,1164.0,
HU,2.0,1164.0,0.1718213058419244
IS,1.0,1164.0,0.0859106529209622
IE,2.0,1164.0,0.1718213058419244
IT,11.0,1164.0,0.9450171821305842
LV,,1164.0,
LI,,1164.0,
LT,,1164.0,
LU,1.0,1164.0,0.0859106529209622
MK,,1164.0,
MT,,1164.0,
MD,4.0,1164.0,0.3436426116838488
MC,,1164.0,
ME,,1164.0,
NL,8.0,1164.0,0.6872852233676976
NO,3.0,1164.0,0.25773195876288657
PL,5.0,1164.0,0.429553264604811
PT,4.0,1164.0,0.3436426116838488
RO,,1164.0,
RU,23.0,1164.0,1.9759450171821304
SM,,1164.0,
RS,,1164.0,
SK,,1164.0,
SI,,1164.0,
ES,33.0,1164.0,2.8350515463917527
SE,2.0,1164.0,0.1718213058419244
CH,8.0,1164.0,0.6872852233676976
TR,9.0,1164.0,0.7731958762886598
UA,23.0,1164.0,1.9759450171821304
GB,64.0,1164.0,5.498281786941581
GR,2.0,1164.0,0.1718213058419244
