ISO 2,count,flux_num,flux_percentage
AL,4.0,1555.0,0.2572347266881029
AD,,1555.0,
AT,1.0,1555.0,0.06430868167202572
BY,,1555.0,
BE,7.0,1555.0,0.45016077170418006
BA,,1555.0,
BG,3.0,1555.0,0.19292604501607716
HR,1.0,1555.0,0.06430868167202572
CZ,4.0,1555.0,0.2572347266881029
DK,994.0,1555.0,63.92282958199357
EE,2.0,1555.0,0.12861736334405144
FI,12.0,1555.0,0.7717041800643086
FR,77.0,1555.0,4.951768488745981
DE,29.0,1555.0,1.864951768488746
VA,,1555.0,
HU,3.0,1555.0,0.19292604501607716
IS,10.0,1555.0,0.6430868167202572
IE,8.0,1555.0,0.5144694533762058
IT,21.0,1555.0,1.35048231511254
LV,1.0,1555.0,0.06430868167202572
LI,,1555.0,
LT,,1555.0,
LU,,1555.0,
MK,,1555.0,
MT,1.0,1555.0,0.06430868167202572
MD,,1555.0,
MC,,1555.0,
ME,2.0,1555.0,0.12861736334405144
NL,24.0,1555.0,1.5434083601286173
NO,16.0,1555.0,1.0289389067524115
PL,6.0,1555.0,0.3858520900321543
PT,5.0,1555.0,0.3215434083601286
RO,2.0,1555.0,0.12861736334405144
RU,48.0,1555.0,3.0868167202572345
SM,,1555.0,
RS,,1555.0,
SK,4.0,1555.0,0.2572347266881029
SI,1.0,1555.0,0.06430868167202572
ES,35.0,1555.0,2.2508038585209005
SE,42.0,1555.0,2.70096463022508
CH,8.0,1555.0,0.5144694533762058
TR,8.0,1555.0,0.5144694533762058
UA,55.0,1555.0,3.536977491961415
GB,120.0,1555.0,7.717041800643088
GR,1.0,1555.0,0.06430868167202572
