ISO 2,count,flux_num,flux_percentage
AL,,2905.0,
AD,,2905.0,
AT,6.0,2905.0,0.2065404475043029
BY,9.0,2905.0,0.3098106712564544
BE,8.0,2905.0,0.2753872633390706
BA,1.0,2905.0,0.034423407917383825
BG,,2905.0,
HR,1.0,2905.0,0.034423407917383825
CZ,19.0,2905.0,0.6540447504302926
DK,12.0,2905.0,0.4130808950086058
EE,2062.0,2905.0,70.98106712564544
FI,71.0,2905.0,2.4440619621342514
FR,102.0,2905.0,3.5111876075731496
DE,40.0,2905.0,1.376936316695353
VA,,2905.0,
HU,8.0,2905.0,0.2753872633390706
IS,3.0,2905.0,0.10327022375215145
IE,15.0,2905.0,0.5163511187607573
IT,40.0,2905.0,1.376936316695353
LV,30.0,2905.0,1.0327022375215147
LI,,2905.0,
LT,9.0,2905.0,0.3098106712564544
LU,,2905.0,
MK,,2905.0,
MT,1.0,2905.0,0.034423407917383825
MD,5.0,2905.0,0.17211703958691912
MC,1.0,2905.0,0.034423407917383825
ME,,2905.0,
NL,14.0,2905.0,0.48192771084337355
NO,10.0,2905.0,0.34423407917383825
PL,18.0,2905.0,0.6196213425129088
PT,4.0,2905.0,0.1376936316695353
RO,19.0,2905.0,0.6540447504302926
RU,123.0,2905.0,4.23407917383821
SM,1.0,2905.0,0.034423407917383825
RS,3.0,2905.0,0.10327022375215145
SK,2.0,2905.0,0.06884681583476765
SI,1.0,2905.0,0.034423407917383825
ES,24.0,2905.0,0.8261617900172116
SE,10.0,2905.0,0.34423407917383825
CH,2.0,2905.0,0.06884681583476765
TR,11.0,2905.0,0.37865748709122204
UA,118.0,2905.0,4.061962134251291
GB,99.0,2905.0,3.4079173838209984
GR,3.0,2905.0,0.10327022375215145
