ISO 2,count,flux_num,flux_percentage
AL,,3088.0,
AD,1.0,3088.0,0.032383419689119175
AT,5.0,3088.0,0.16191709844559585
BY,1.0,3088.0,0.032383419689119175
BE,7.0,3088.0,0.22668393782383417
BA,,3088.0,
BG,3.0,3088.0,0.09715025906735751
HR,4.0,3088.0,0.1295336787564767
CZ,2.0,3088.0,0.06476683937823835
DK,5.0,3088.0,0.16191709844559585
EE,1.0,3088.0,0.032383419689119175
FI,1.0,3088.0,0.032383419689119175
FR,53.0,3088.0,1.716321243523316
DE,32.0,3088.0,1.0362694300518136
VA,,3088.0,
HU,6.0,3088.0,0.19430051813471502
IS,2.0,3088.0,0.06476683937823835
IE,2.0,3088.0,0.06476683937823835
IT,53.0,3088.0,1.716321243523316
LV,1.0,3088.0,0.032383419689119175
LI,,3088.0,
LT,1.0,3088.0,0.032383419689119175
LU,,3088.0,
MK,2.0,3088.0,0.06476683937823835
MT,,3088.0,
MD,2.0,3088.0,0.06476683937823835
MC,,3088.0,
ME,,3088.0,
NL,7.0,3088.0,0.22668393782383417
NO,2.0,3088.0,0.06476683937823835
PL,4.0,3088.0,0.1295336787564767
PT,15.0,3088.0,0.48575129533678757
RO,,3088.0,
RU,26.0,3088.0,0.8419689119170984
SM,,3088.0,
RS,,3088.0,
SK,2.0,3088.0,0.06476683937823835
SI,,3088.0,
ES,2725.0,3088.0,88.24481865284974
SE,19.0,3088.0,0.6152849740932642
CH,11.0,3088.0,0.35621761658031087
TR,6.0,3088.0,0.19430051813471502
UA,26.0,3088.0,0.8419689119170984
GB,55.0,3088.0,1.7810880829015545
GR,6.0,3088.0,0.19430051813471502
