ISO 2,count,flux_num,flux_percentage
AL,1.0,1043.0,0.09587727708533077
AD,,1043.0,
AT,1.0,1043.0,0.09587727708533077
BY,3.0,1043.0,0.28763183125599234
BE,4.0,1043.0,0.38350910834132307
BA,,1043.0,
BG,,1043.0,
HR,,1043.0,
CZ,,1043.0,
DK,2.0,1043.0,0.19175455417066153
EE,8.0,1043.0,0.7670182166826461
FI,757.0,1043.0,72.57909875359539
FR,37.0,1043.0,3.547459252157239
DE,19.0,1043.0,1.821668264621285
VA,,1043.0,
HU,2.0,1043.0,0.19175455417066153
IS,2.0,1043.0,0.19175455417066153
IE,4.0,1043.0,0.38350910834132307
IT,7.0,1043.0,0.6711409395973155
LV,,1043.0,
LI,,1043.0,
LT,,1043.0,
LU,,1043.0,
MK,,1043.0,
MT,1.0,1043.0,0.09587727708533077
MD,3.0,1043.0,0.28763183125599234
MC,,1043.0,
ME,1.0,1043.0,0.09587727708533077
NL,6.0,1043.0,0.5752636625119847
NO,6.0,1043.0,0.5752636625119847
PL,5.0,1043.0,0.4793863854266539
PT,5.0,1043.0,0.4793863854266539
RO,,1043.0,
RU,34.0,1043.0,3.2598274209012463
SM,,1043.0,
RS,1.0,1043.0,0.09587727708533077
SK,1.0,1043.0,0.09587727708533077
SI,,1043.0,
ES,18.0,1043.0,1.725790987535954
SE,26.0,1043.0,2.4928092042186005
CH,2.0,1043.0,0.19175455417066153
TR,10.0,1043.0,0.9587727708533078
UA,27.0,1043.0,2.588686481303931
GB,46.0,1043.0,4.410354745925216
GR,4.0,1043.0,0.38350910834132307
