ISO 2,count,flux_num,flux_percentage
AL,,595.0,
AD,,595.0,
AT,1.0,595.0,0.16806722689075632
BY,,595.0,
BE,5.0,595.0,0.8403361344537815
BA,,595.0,
BG,,595.0,
HR,,595.0,
CZ,,595.0,
DK,,595.0,
EE,,595.0,
FI,2.0,595.0,0.33613445378151263
FR,448.0,595.0,75.29411764705883
DE,10.0,595.0,1.680672268907563
VA,,595.0,
HU,1.0,595.0,0.16806722689075632
IS,,595.0,
IE,5.0,595.0,0.8403361344537815
IT,11.0,595.0,1.8487394957983194
LV,,595.0,
LI,,595.0,
LT,,595.0,
LU,1.0,595.0,0.16806722689075632
MK,,595.0,
MT,,595.0,
MD,1.0,595.0,0.16806722689075632
MC,1.0,595.0,0.16806722689075632
ME,,595.0,
NL,4.0,595.0,0.6722689075630253
NO,1.0,595.0,0.16806722689075632
PL,,595.0,
PT,8.0,595.0,1.3445378151260505
RO,,595.0,
RU,6.0,595.0,1.0084033613445378
SM,,595.0,
RS,,595.0,
SK,1.0,595.0,0.16806722689075632
SI,1.0,595.0,0.16806722689075632
ES,15.0,595.0,2.5210084033613445
SE,,595.0,
CH,4.0,595.0,0.6722689075630253
TR,1.0,595.0,0.16806722689075632
UA,2.0,595.0,0.33613445378151263
GB,58.0,595.0,9.747899159663866
GR,8.0,595.0,1.3445378151260505
