ISO 2,count,flux_num,flux_percentage
AL,2.0,2895.0,0.0690846286701209
AD,,2895.0,
AT,6.0,2895.0,0.20725388601036268
BY,1.0,2895.0,0.03454231433506045
BE,8.0,2895.0,0.2763385146804836
BA,,2895.0,
BG,2.0,2895.0,0.0690846286701209
HR,4.0,2895.0,0.1381692573402418
CZ,4.0,2895.0,0.1381692573402418
DK,6.0,2895.0,0.20725388601036268
EE,1.0,2895.0,0.03454231433506045
FI,1.0,2895.0,0.03454231433506045
FR,149.0,2895.0,5.146804835924007
DE,31.0,2895.0,1.070811744386874
VA,,2895.0,
HU,4.0,2895.0,0.1381692573402418
IS,5.0,2895.0,0.17271157167530224
IE,30.0,2895.0,1.0362694300518136
IT,27.0,2895.0,0.932642487046632
LV,,2895.0,
LI,,2895.0,
LT,3.0,2895.0,0.10362694300518134
LU,1.0,2895.0,0.03454231433506045
MK,1.0,2895.0,0.03454231433506045
MT,1.0,2895.0,0.03454231433506045
MD,2.0,2895.0,0.0690846286701209
MC,,2895.0,
ME,,2895.0,
NL,13.0,2895.0,0.44905008635578586
NO,1.0,2895.0,0.03454231433506045
PL,7.0,2895.0,0.24179620034542312
PT,12.0,2895.0,0.41450777202072536
RO,,2895.0,
RU,20.0,2895.0,0.690846286701209
SM,,2895.0,
RS,2.0,2895.0,0.0690846286701209
SK,2.0,2895.0,0.0690846286701209
SI,1.0,2895.0,0.03454231433506045
ES,39.0,2895.0,1.3471502590673576
SE,5.0,2895.0,0.17271157167530224
CH,12.0,2895.0,0.41450777202072536
TR,7.0,2895.0,0.24179620034542312
UA,13.0,2895.0,0.44905008635578586
GB,2469.0,2895.0,85.28497409326425
GR,3.0,2895.0,0.10362694300518134
