ISO 2,count,flux_num,flux_percentage
AL,1.0,1436.0,0.06963788300835655
AD,,1436.0,
AT,2.0,1436.0,0.1392757660167131
BY,1.0,1436.0,0.06963788300835655
BE,12.0,1436.0,0.8356545961002786
BA,,1436.0,
BG,3.0,1436.0,0.20891364902506965
HR,2.0,1436.0,0.1392757660167131
CZ,1.0,1436.0,0.06963788300835655
DK,3.0,1436.0,0.20891364902506965
EE,1.0,1436.0,0.06963788300835655
FI,,1436.0,
FR,57.0,1436.0,3.9693593314763227
DE,14.0,1436.0,0.9749303621169917
VA,1.0,1436.0,0.06963788300835655
HU,,1436.0,
IS,11.0,1436.0,0.766016713091922
IE,4.0,1436.0,0.2785515320334262
IT,13.0,1436.0,0.9052924791086351
LV,,1436.0,
LI,,1436.0,
LT,,1436.0,
LU,,1436.0,
MK,7.0,1436.0,0.48746518105849584
MT,1.0,1436.0,0.06963788300835655
MD,6.0,1436.0,0.4178272980501393
MC,,1436.0,
ME,,1436.0,
NL,3.0,1436.0,0.20891364902506965
NO,1.0,1436.0,0.06963788300835655
PL,2.0,1436.0,0.1392757660167131
PT,,1436.0,
RO,2.0,1436.0,0.1392757660167131
RU,15.0,1436.0,1.0445682451253482
SM,,1436.0,
RS,,1436.0,
SK,,1436.0,
SI,2.0,1436.0,0.1392757660167131
ES,15.0,1436.0,1.0445682451253482
SE,4.0,1436.0,0.2785515320334262
CH,5.0,1436.0,0.34818941504178275
TR,36.0,1436.0,2.5069637883008355
UA,14.0,1436.0,0.9749303621169917
GB,81.0,1436.0,5.64066852367688
GR,1116.0,1436.0,77.71587743732591
