ISO 2,count,flux_num,flux_percentage
AL,,1725.0,
AD,,1725.0,
AT,19.0,1725.0,1.1014492753623188
BY,2.0,1725.0,0.11594202898550725
BE,12.0,1725.0,0.6956521739130435
BA,,1725.0,
BG,1.0,1725.0,0.057971014492753624
HR,13.0,1725.0,0.7536231884057971
CZ,14.0,1725.0,0.8115942028985508
DK,,1725.0,
EE,,1725.0,
FI,5.0,1725.0,0.2898550724637681
FR,66.0,1725.0,3.826086956521739
DE,38.0,1725.0,2.2028985507246377
VA,,1725.0,
HU,1237.0,1725.0,71.71014492753623
IS,1.0,1725.0,0.057971014492753624
IE,7.0,1725.0,0.4057971014492754
IT,22.0,1725.0,1.2753623188405796
LV,,1725.0,
LI,,1725.0,
LT,,1725.0,
LU,3.0,1725.0,0.17391304347826086
MK,,1725.0,
MT,2.0,1725.0,0.11594202898550725
MD,5.0,1725.0,0.2898550724637681
MC,1.0,1725.0,0.057971014492753624
ME,2.0,1725.0,0.11594202898550725
NL,7.0,1725.0,0.4057971014492754
NO,3.0,1725.0,0.17391304347826086
PL,17.0,1725.0,0.9855072463768115
PT,4.0,1725.0,0.2318840579710145
RO,8.0,1725.0,0.463768115942029
RU,18.0,1725.0,1.0434782608695654
SM,,1725.0,
RS,4.0,1725.0,0.2318840579710145
SK,11.0,1725.0,0.6376811594202898
SI,3.0,1725.0,0.17391304347826086
ES,43.0,1725.0,2.4927536231884058
SE,3.0,1725.0,0.17391304347826086
CH,4.0,1725.0,0.2318840579710145
TR,15.0,1725.0,0.8695652173913043
UA,32.0,1725.0,1.855072463768116
GB,100.0,1725.0,5.797101449275362
GR,3.0,1725.0,0.17391304347826086
