ISO 2,count,flux_num,flux_percentage
AL,1.0,3398.0,0.02942907592701589
AD,,3398.0,
AT,3.0,3398.0,0.08828722778104767
BY,3.0,3398.0,0.08828722778104767
BE,12.0,3398.0,0.35314891112419067
BA,1.0,3398.0,0.02942907592701589
BG,3.0,3398.0,0.08828722778104767
HR,5.0,3398.0,0.14714537963507945
CZ,4.0,3398.0,0.11771630370806356
DK,6.0,3398.0,0.17657445556209533
EE,2.0,3398.0,0.05885815185403178
FI,4.0,3398.0,0.11771630370806356
FR,182.0,3398.0,5.356091818716893
DE,16.0,3398.0,0.47086521483225424
VA,4.0,3398.0,0.11771630370806356
HU,3.0,3398.0,0.08828722778104767
IS,3.0,3398.0,0.08828722778104767
IE,2433.0,3398.0,71.60094173042967
IT,33.0,3398.0,0.9711595055915244
LV,,3398.0,
LI,,3398.0,
LT,2.0,3398.0,0.05885815185403178
LU,1.0,3398.0,0.02942907592701589
MK,1.0,3398.0,0.02942907592701589
MT,,3398.0,
MD,4.0,3398.0,0.11771630370806356
MC,,3398.0,
ME,,3398.0,
NL,13.0,3398.0,0.38257798705120655
NO,4.0,3398.0,0.11771630370806356
PL,4.0,3398.0,0.11771630370806356
PT,7.0,3398.0,0.20600353148911124
RO,4.0,3398.0,0.11771630370806356
RU,37.0,3398.0,1.088875809299588
SM,,3398.0,
RS,1.0,3398.0,0.02942907592701589
SK,3.0,3398.0,0.08828722778104767
SI,1.0,3398.0,0.02942907592701589
ES,33.0,3398.0,0.9711595055915244
SE,6.0,3398.0,0.17657445556209533
CH,5.0,3398.0,0.14714537963507945
TR,6.0,3398.0,0.17657445556209533
UA,44.0,3398.0,1.2948793407886992
GB,496.0,3398.0,14.596821659799883
GR,8.0,3398.0,0.23543260741612712
