ISO 2,count,flux_num,flux_percentage
AL,,2480.0,
AD,,2480.0,
AT,2.0,2480.0,0.08064516129032258
BY,3.0,2480.0,0.12096774193548387
BE,6.0,2480.0,0.24193548387096775
BA,1.0,2480.0,0.04032258064516129
BG,1.0,2480.0,0.04032258064516129
HR,3.0,2480.0,0.12096774193548387
CZ,2.0,2480.0,0.08064516129032258
DK,12.0,2480.0,0.4838709677419355
EE,,2480.0,
FI,5.0,2480.0,0.20161290322580644
FR,62.0,2480.0,2.5
DE,16.0,2480.0,0.6451612903225806
VA,,2480.0,
HU,,2480.0,
IS,1789.0,2480.0,72.13709677419354
IE,19.0,2480.0,0.7661290322580645
IT,9.0,2480.0,0.3629032258064516
LV,1.0,2480.0,0.04032258064516129
LI,,2480.0,
LT,,2480.0,
LU,,2480.0,
MK,1.0,2480.0,0.04032258064516129
MT,2.0,2480.0,0.08064516129032258
MD,4.0,2480.0,0.16129032258064516
MC,,2480.0,
ME,,2480.0,
NL,10.0,2480.0,0.4032258064516129
NO,16.0,2480.0,0.6451612903225806
PL,12.0,2480.0,0.4838709677419355
PT,3.0,2480.0,0.12096774193548387
RO,2.0,2480.0,0.08064516129032258
RU,158.0,2480.0,6.370967741935483
SM,,2480.0,
RS,,2480.0,
SK,2.0,2480.0,0.08064516129032258
SI,1.0,2480.0,0.04032258064516129
ES,21.0,2480.0,0.8467741935483872
SE,9.0,2480.0,0.3629032258064516
CH,1.0,2480.0,0.04032258064516129
TR,5.0,2480.0,0.20161290322580644
UA,218.0,2480.0,8.790322580645162
GB,82.0,2480.0,3.306451612903226
GR,2.0,2480.0,0.08064516129032258
