ISO 2,count,flux_num,flux_percentage
AL,1.0,1146.0,0.08726003490401396
AD,,1146.0,
AT,5.0,1146.0,0.4363001745200698
BY,,1146.0,
BE,2.0,1146.0,0.17452006980802792
BA,1.0,1146.0,0.08726003490401396
BG,,1146.0,
HR,3.0,1146.0,0.2617801047120419
CZ,,1146.0,
DK,,1146.0,
EE,1.0,1146.0,0.08726003490401396
FI,,1146.0,
FR,29.0,1146.0,2.530541012216405
DE,7.0,1146.0,0.6108202443280977
VA,8.0,1146.0,0.6980802792321117
HU,1.0,1146.0,0.08726003490401396
IS,,1146.0,
IE,4.0,1146.0,0.34904013961605584
IT,985.0,1146.0,85.95113438045375
LV,,1146.0,
LI,,1146.0,
LT,,1146.0,
LU,,1146.0,
MK,,1146.0,
MT,,1146.0,
MD,,1146.0,
MC,,1146.0,
ME,,1146.0,
NL,5.0,1146.0,0.4363001745200698
NO,2.0,1146.0,0.17452006980802792
PL,1.0,1146.0,0.08726003490401396
PT,7.0,1146.0,0.6108202443280977
RO,4.0,1146.0,0.34904013961605584
RU,7.0,1146.0,0.6108202443280977
SM,1.0,1146.0,0.08726003490401396
RS,,1146.0,
SK,,1146.0,
SI,,1146.0,
ES,18.0,1146.0,1.5706806282722512
SE,1.0,1146.0,0.08726003490401396
CH,7.0,1146.0,0.6108202443280977
TR,4.0,1146.0,0.34904013961605584
UA,9.0,1146.0,0.7853403141361256
GB,29.0,1146.0,2.530541012216405
GR,4.0,1146.0,0.34904013961605584
