ISO 2,count,flux_num,flux_percentage
AL,2.0,3178.0,0.06293266205160479
AD,,3178.0,
AT,86.0,3178.0,2.7061044682190056
BY,3.0,3178.0,0.09439899307740718
BE,16.0,3178.0,0.5034612964128383
BA,,3178.0,
BG,1.0,3178.0,0.031466331025802395
HR,4.0,3178.0,0.12586532410320958
CZ,5.0,3178.0,0.15733165512901195
DK,2.0,3178.0,0.06293266205160479
EE,1.0,3178.0,0.031466331025802395
FI,7.0,3178.0,0.22026431718061676
FR,89.0,3178.0,2.800503461296413
DE,116.0,3178.0,3.650094398993078
VA,,3178.0,
HU,5.0,3178.0,0.15733165512901195
IS,4.0,3178.0,0.12586532410320958
IE,10.0,3178.0,0.3146633102580239
IT,70.0,3178.0,2.2026431718061676
LV,,3178.0,
LI,2024.0,3178.0,63.68785399622404
LT,1.0,3178.0,0.031466331025802395
LU,3.0,3178.0,0.09439899307740718
MK,,3178.0,
MT,,3178.0,
MD,6.0,3178.0,0.18879798615481436
MC,2.0,3178.0,0.06293266205160479
ME,,3178.0,
NL,9.0,3178.0,0.28319697923222154
NO,5.0,3178.0,0.15733165512901195
PL,8.0,3178.0,0.25173064820641916
PT,6.0,3178.0,0.18879798615481436
RO,12.0,3178.0,0.3775959723096287
RU,18.0,3178.0,0.5663939584644431
SM,,3178.0,
RS,,3178.0,
SK,2.0,3178.0,0.06293266205160479
SI,1.0,3178.0,0.031466331025802395
ES,95.0,3178.0,2.9893014474512274
SE,15.0,3178.0,0.4719949653870359
CH,459.0,3178.0,14.443045940843296
TR,5.0,3178.0,0.15733165512901195
UA,32.0,3178.0,1.0069225928256766
GB,51.0,3178.0,1.6047828823159218
GR,3.0,3178.0,0.09439899307740718
