ISO 2,count,flux_num,flux_percentage
AL,,588.0,
AD,,588.0,
AT,,588.0,
BY,6.0,588.0,1.0204081632653061
BE,5.0,588.0,0.8503401360544218
BA,,588.0,
BG,,588.0,
HR,,588.0,
CZ,,588.0,
DK,3.0,588.0,0.5102040816326531
EE,3.0,588.0,0.5102040816326531
FI,6.0,588.0,1.0204081632653061
FR,20.0,588.0,3.4013605442176873
DE,6.0,588.0,1.0204081632653061
VA,,588.0,
HU,,588.0,
IS,,588.0,
IE,1.0,588.0,0.17006802721088435
IT,5.0,588.0,0.8503401360544218
LV,394.0,588.0,67.00680272108843
LI,,588.0,
LT,5.0,588.0,0.8503401360544218
LU,1.0,588.0,0.17006802721088435
MK,,588.0,
MT,,588.0,
MD,1.0,588.0,0.17006802721088435
MC,,588.0,
ME,2.0,588.0,0.3401360544217687
NL,1.0,588.0,0.17006802721088435
NO,2.0,588.0,0.3401360544217687
PL,3.0,588.0,0.5102040816326531
PT,3.0,588.0,0.5102040816326531
RO,1.0,588.0,0.17006802721088435
RU,39.0,588.0,6.63265306122449
SM,,588.0,
RS,1.0,588.0,0.17006802721088435
SK,,588.0,
SI,1.0,588.0,0.17006802721088435
ES,13.0,588.0,2.2108843537414966
SE,5.0,588.0,0.8503401360544218
CH,2.0,588.0,0.3401360544217687
TR,1.0,588.0,0.17006802721088435
UA,32.0,588.0,5.442176870748299
GB,24.0,588.0,4.081632653061225
GR,2.0,588.0,0.3401360544217687
