ISO 2,count,flux_num,flux_percentage
AL,,3920.0,
AD,,3920.0,
AT,15.0,3920.0,0.3826530612244898
BY,,3920.0,
BE,8.0,3920.0,0.20408163265306123
BA,,3920.0,
BG,1.0,3920.0,0.025510204081632654
HR,5.0,3920.0,0.12755102040816327
CZ,1.0,3920.0,0.025510204081632654
DK,1.0,3920.0,0.025510204081632654
EE,,3920.0,
FI,1.0,3920.0,0.025510204081632654
FR,226.0,3920.0,5.76530612244898
DE,80.0,3920.0,2.0408163265306123
VA,2.0,3920.0,0.05102040816326531
HU,7.0,3920.0,0.17857142857142858
IS,,3920.0,
IE,7.0,3920.0,0.17857142857142858
IT,203.0,3920.0,5.178571428571429
LV,,3920.0,
LI,1.0,3920.0,0.025510204081632654
LT,,3920.0,
LU,1.0,3920.0,0.025510204081632654
MK,2.0,3920.0,0.05102040816326531
MT,1.0,3920.0,0.025510204081632654
MD,3.0,3920.0,0.07653061224489796
MC,3171.0,3920.0,80.89285714285714
ME,1.0,3920.0,0.025510204081632654
NL,5.0,3920.0,0.12755102040816327
NO,2.0,3920.0,0.05102040816326531
PL,3.0,3920.0,0.07653061224489796
PT,1.0,3920.0,0.025510204081632654
RO,1.0,3920.0,0.025510204081632654
RU,10.0,3920.0,0.25510204081632654
SM,1.0,3920.0,0.025510204081632654
RS,,3920.0,
SK,,3920.0,
SI,,3920.0,
ES,27.0,3920.0,0.6887755102040817
SE,3.0,3920.0,0.07653061224489796
CH,4.0,3920.0,0.10204081632653061
TR,11.0,3920.0,0.28061224489795916
UA,4.0,3920.0,0.10204081632653061
GB,106.0,3920.0,2.7040816326530615
GR,5.0,3920.0,0.12755102040816327
