ISO 2,count,flux_num,flux_percentage
AL,10.0,616.0,1.6233766233766231
AD,,616.0,
AT,1.0,616.0,0.16233766233766234
BY,3.0,616.0,0.487012987012987
BE,2.0,616.0,0.3246753246753247
BA,5.0,616.0,0.8116883116883116
BG,14.0,616.0,2.272727272727273
HR,14.0,616.0,2.272727272727273
CZ,4.0,616.0,0.6493506493506493
DK,1.0,616.0,0.16233766233766234
EE,1.0,616.0,0.16233766233766234
FI,1.0,616.0,0.16233766233766234
FR,25.0,616.0,4.058441558441558
DE,3.0,616.0,0.487012987012987
VA,,616.0,
HU,3.0,616.0,0.487012987012987
IS,1.0,616.0,0.16233766233766234
IE,1.0,616.0,0.16233766233766234
IT,7.0,616.0,1.1363636363636365
LV,1.0,616.0,0.16233766233766234
LI,,616.0,
LT,1.0,616.0,0.16233766233766234
LU,,616.0,
MK,2.0,616.0,0.3246753246753247
MT,6.0,616.0,0.974025974025974
MD,,616.0,
MC,,616.0,
ME,393.0,616.0,63.798701298701296
NL,2.0,616.0,0.3246753246753247
NO,2.0,616.0,0.3246753246753247
PL,5.0,616.0,0.8116883116883116
PT,1.0,616.0,0.16233766233766234
RO,1.0,616.0,0.16233766233766234
RU,15.0,616.0,2.4350649350649354
SM,,616.0,
RS,22.0,616.0,3.571428571428571
SK,1.0,616.0,0.16233766233766234
SI,3.0,616.0,0.487012987012987
ES,8.0,616.0,1.2987012987012987
SE,1.0,616.0,0.16233766233766234
CH,2.0,616.0,0.3246753246753247
TR,7.0,616.0,1.1363636363636365
UA,21.0,616.0,3.4090909090909087
GB,20.0,616.0,3.2467532467532463
GR,6.0,616.0,0.974025974025974
