ISO 2,count,flux_num,flux_percentage
AL,6.0,417.0,1.4388489208633095
AD,,417.0,
AT,5.0,417.0,1.1990407673860912
BY,2.0,417.0,0.4796163069544364
BE,2.0,417.0,0.4796163069544364
BA,2.0,417.0,0.4796163069544364
BG,33.0,417.0,7.913669064748201
HR,4.0,417.0,0.9592326139088728
CZ,2.0,417.0,0.4796163069544364
DK,1.0,417.0,0.2398081534772182
EE,,417.0,
FI,1.0,417.0,0.2398081534772182
FR,29.0,417.0,6.954436450839328
DE,6.0,417.0,1.4388489208633095
VA,,417.0,
HU,3.0,417.0,0.7194244604316548
IS,,417.0,
IE,2.0,417.0,0.4796163069544364
IT,6.0,417.0,1.4388489208633095
LV,,417.0,
LI,,417.0,
LT,1.0,417.0,0.2398081534772182
LU,,417.0,
MK,227.0,417.0,54.43645083932853
MT,1.0,417.0,0.2398081534772182
MD,2.0,417.0,0.4796163069544364
MC,,417.0,
ME,1.0,417.0,0.2398081534772182
NL,2.0,417.0,0.4796163069544364
NO,,417.0,
PL,4.0,417.0,0.9592326139088728
PT,1.0,417.0,0.2398081534772182
RO,1.0,417.0,0.2398081534772182
RU,12.0,417.0,2.877697841726619
SM,,417.0,
RS,11.0,417.0,2.6378896882494005
SK,1.0,417.0,0.2398081534772182
SI,3.0,417.0,0.7194244604316548
ES,8.0,417.0,1.9184652278177456
SE,1.0,417.0,0.2398081534772182
CH,2.0,417.0,0.4796163069544364
TR,8.0,417.0,1.9184652278177456
UA,1.0,417.0,0.2398081534772182
GB,18.0,417.0,4.316546762589928
GR,8.0,417.0,1.9184652278177456
