ISO 2,count,flux_num,flux_percentage
AL,2.0,3603.0,0.05550929780738274
AD,1.0,3603.0,0.02775464890369137
AT,5.0,3603.0,0.13877324451845685
BY,1.0,3603.0,0.02775464890369137
BE,8.0,3603.0,0.22203719122953097
BA,,3603.0,
BG,6.0,3603.0,0.16652789342214822
HR,8.0,3603.0,0.22203719122953097
CZ,3.0,3603.0,0.08326394671107411
DK,1.0,3603.0,0.02775464890369137
EE,2.0,3603.0,0.05550929780738274
FI,3.0,3603.0,0.08326394671107411
FR,134.0,3603.0,3.7191229530946432
DE,45.0,3603.0,1.2489592006661114
VA,1.0,3603.0,0.02775464890369137
HU,7.0,3603.0,0.19428254232583958
IS,38.0,3603.0,1.054676658340272
IE,25.0,3603.0,0.6938662225922843
IT,144.0,3603.0,3.996669442131557
LV,2.0,3603.0,0.05550929780738274
LI,,3603.0,
LT,,3603.0,
LU,1.0,3603.0,0.02775464890369137
MK,1.0,3603.0,0.02775464890369137
MT,2607.0,3603.0,72.35636969192339
MD,2.0,3603.0,0.05550929780738274
MC,,3603.0,
ME,,3603.0,
NL,3.0,3603.0,0.08326394671107411
NO,4.0,3603.0,0.11101859561476549
PL,10.0,3603.0,0.2775464890369137
PT,15.0,3603.0,0.4163197335553705
RO,5.0,3603.0,0.13877324451845685
RU,28.0,3603.0,0.7771301693033583
SM,1.0,3603.0,0.02775464890369137
RS,4.0,3603.0,0.11101859561476549
SK,,3603.0,
SI,,3603.0,
ES,77.0,3603.0,2.1371079655842355
SE,9.0,3603.0,0.2497918401332223
CH,10.0,3603.0,0.2775464890369137
TR,17.0,3603.0,0.4718290313627533
UA,18.0,3603.0,0.4995836802664446
GB,340.0,3603.0,9.436580627255067
GR,15.0,3603.0,0.4163197335553705
