ISO 2,count,flux_num,flux_percentage
AL,1.0,758.0,0.13192612137203166
AD,1.0,758.0,0.13192612137203166
AT,2.0,758.0,0.2638522427440633
BY,2.0,758.0,0.2638522427440633
BE,11.0,758.0,1.4511873350923483
BA,,758.0,
BG,,758.0,
HR,,758.0,
CZ,1.0,758.0,0.13192612137203166
DK,5.0,758.0,0.6596306068601583
EE,,758.0,
FI,,758.0,
FR,28.0,758.0,3.6939313984168867
DE,15.0,758.0,1.978891820580475
VA,1.0,758.0,0.13192612137203166
HU,2.0,758.0,0.2638522427440633
IS,,758.0,
IE,6.0,758.0,0.79155672823219
IT,11.0,758.0,1.4511873350923483
LV,,758.0,
LI,,758.0,
LT,2.0,758.0,0.2638522427440633
LU,1.0,758.0,0.13192612137203166
MK,,758.0,
MT,,758.0,
MD,1.0,758.0,0.13192612137203166
MC,,758.0,
ME,,758.0,
NL,552.0,758.0,72.82321899736148
NO,2.0,758.0,0.2638522427440633
PL,5.0,758.0,0.6596306068601583
PT,3.0,758.0,0.395778364116095
RO,,758.0,
RU,13.0,758.0,1.7150395778364116
SM,,758.0,
RS,,758.0,
SK,,758.0,
SI,,758.0,
ES,25.0,758.0,3.2981530343007917
SE,2.0,758.0,0.2638522427440633
CH,3.0,758.0,0.395778364116095
TR,2.0,758.0,0.2638522427440633
UA,9.0,758.0,1.1873350923482848
GB,50.0,758.0,6.596306068601583
GR,2.0,758.0,0.2638522427440633
