ISO 2,count,flux_num,flux_percentage
AL,,1570.0,
AD,,1570.0,
AT,4.0,1570.0,0.25477707006369427
BY,2.0,1570.0,0.12738853503184713
BE,6.0,1570.0,0.3821656050955414
BA,1.0,1570.0,0.06369426751592357
BG,1.0,1570.0,0.06369426751592357
HR,2.0,1570.0,0.12738853503184713
CZ,1.0,1570.0,0.06369426751592357
DK,19.0,1570.0,1.210191082802548
EE,1.0,1570.0,0.06369426751592357
FI,15.0,1570.0,0.9554140127388535
FR,39.0,1570.0,2.4840764331210194
DE,18.0,1570.0,1.1464968152866242
VA,,1570.0,
HU,4.0,1570.0,0.25477707006369427
IS,5.0,1570.0,0.3184713375796179
IE,7.0,1570.0,0.445859872611465
IT,27.0,1570.0,1.7197452229299364
LV,1.0,1570.0,0.06369426751592357
LI,,1570.0,
LT,2.0,1570.0,0.12738853503184713
LU,1.0,1570.0,0.06369426751592357
MK,1.0,1570.0,0.06369426751592357
MT,2.0,1570.0,0.12738853503184713
MD,16.0,1570.0,1.019108280254777
MC,1.0,1570.0,0.06369426751592357
ME,,1570.0,
NL,8.0,1570.0,0.5095541401273885
NO,1145.0,1570.0,72.92993630573248
PL,4.0,1570.0,0.25477707006369427
PT,5.0,1570.0,0.3184713375796179
RO,5.0,1570.0,0.3184713375796179
RU,31.0,1570.0,1.9745222929936306
SM,,1570.0,
RS,,1570.0,
SK,1.0,1570.0,0.06369426751592357
SI,2.0,1570.0,0.12738853503184713
ES,33.0,1570.0,2.1019108280254777
SE,29.0,1570.0,1.8471337579617835
CH,3.0,1570.0,0.1910828025477707
TR,3.0,1570.0,0.1910828025477707
UA,25.0,1570.0,1.5923566878980893
GB,96.0,1570.0,6.114649681528663
GR,4.0,1570.0,0.25477707006369427
