ISO 2,count,flux_num,flux_percentage
AL,2.0,554.0,0.36101083032490977
AD,,554.0,
AT,2.0,554.0,0.36101083032490977
BY,2.0,554.0,0.36101083032490977
BE,2.0,554.0,0.36101083032490977
BA,1.0,554.0,0.18050541516245489
BG,,554.0,
HR,,554.0,
CZ,3.0,554.0,0.5415162454873645
DK,1.0,554.0,0.18050541516245489
EE,,554.0,
FI,3.0,554.0,0.5415162454873645
FR,24.0,554.0,4.332129963898916
DE,14.0,554.0,2.527075812274368
VA,,554.0,
HU,2.0,554.0,0.36101083032490977
IS,1.0,554.0,0.18050541516245489
IE,5.0,554.0,0.9025270758122743
IT,8.0,554.0,1.444043321299639
LV,,554.0,
LI,,554.0,
LT,,554.0,
LU,,554.0,
MK,,554.0,
MT,,554.0,
MD,1.0,554.0,0.18050541516245489
MC,,554.0,
ME,,554.0,
NL,7.0,554.0,1.263537906137184
NO,1.0,554.0,0.18050541516245489
PL,331.0,554.0,59.74729241877257
PT,2.0,554.0,0.36101083032490977
RO,,554.0,
RU,33.0,554.0,5.956678700361011
SM,,554.0,
RS,2.0,554.0,0.36101083032490977
SK,5.0,554.0,0.9025270758122743
SI,1.0,554.0,0.18050541516245489
ES,14.0,554.0,2.527075812274368
SE,5.0,554.0,0.9025270758122743
CH,6.0,554.0,1.083032490974729
TR,1.0,554.0,0.18050541516245489
UA,37.0,554.0,6.678700361010831
GB,38.0,554.0,6.859205776173286
GR,,554.0,
