ISO 2,count,flux_num,flux_percentage
AL,1.0,2144.0,0.046641791044776115
AD,1.0,2144.0,0.046641791044776115
AT,6.0,2144.0,0.2798507462686567
BY,,2144.0,
BE,8.0,2144.0,0.3731343283582089
BA,,2144.0,
BG,1.0,2144.0,0.046641791044776115
HR,5.0,2144.0,0.23320895522388058
CZ,8.0,2144.0,0.3731343283582089
DK,2.0,2144.0,0.09328358208955223
EE,1.0,2144.0,0.046641791044776115
FI,3.0,2144.0,0.13992537313432835
FR,45.0,2144.0,2.0988805970149254
DE,13.0,2144.0,0.6063432835820896
VA,,2144.0,
HU,1.0,2144.0,0.046641791044776115
IS,1.0,2144.0,0.046641791044776115
IE,2.0,2144.0,0.09328358208955223
IT,40.0,2144.0,1.8656716417910446
LV,,2144.0,
LI,,2144.0,
LT,,2144.0,
LU,,2144.0,
MK,,2144.0,
MT,7.0,2144.0,0.3264925373134328
MD,1.0,2144.0,0.046641791044776115
MC,1.0,2144.0,0.046641791044776115
ME,,2144.0,
NL,6.0,2144.0,0.2798507462686567
NO,2.0,2144.0,0.09328358208955223
PL,1.0,2144.0,0.046641791044776115
PT,1755.0,2144.0,81.85634328358209
RO,,2144.0,
RU,21.0,2144.0,0.9794776119402986
SM,1.0,2144.0,0.046641791044776115
RS,3.0,2144.0,0.13992537313432835
SK,,2144.0,
SI,,2144.0,
ES,114.0,2144.0,5.317164179104478
SE,2.0,2144.0,0.09328358208955223
CH,6.0,2144.0,0.2798507462686567
TR,5.0,2144.0,0.23320895522388058
UA,23.0,2144.0,1.0727611940298507
GB,55.0,2144.0,2.565298507462687
GR,3.0,2144.0,0.13992537313432835
