ISO 2,count,flux_num,flux_percentage
AL,2.0,2197.0,0.09103322712790168
AD,,2197.0,
AT,15.0,2197.0,0.6827492034592627
BY,4.0,2197.0,0.18206645425580337
BE,7.0,2197.0,0.31861629494765586
BA,1.0,2197.0,0.04551661356395084
BG,20.0,2197.0,0.9103322712790167
HR,5.0,2197.0,0.22758306781975418
CZ,7.0,2197.0,0.31861629494765586
DK,2.0,2197.0,0.09103322712790168
EE,2.0,2197.0,0.09103322712790168
FI,6.0,2197.0,0.27309968138370505
FR,98.0,2197.0,4.4606281292671826
DE,16.0,2197.0,0.7282658170232135
VA,,2197.0,
HU,17.0,2197.0,0.7737824305871643
IS,4.0,2197.0,0.18206645425580337
IE,3.0,2197.0,0.13654984069185253
IT,24.0,2197.0,1.0923987255348202
LV,2.0,2197.0,0.09103322712790168
LI,,2197.0,
LT,6.0,2197.0,0.27309968138370505
LU,4.0,2197.0,0.18206645425580337
MK,,2197.0,
MT,,2197.0,
MD,24.0,2197.0,1.0923987255348202
MC,,2197.0,
ME,,2197.0,
NL,19.0,2197.0,0.864815657715066
NO,2.0,2197.0,0.09103322712790168
PL,8.0,2197.0,0.36413290851160673
PT,9.0,2197.0,0.40964952207555755
RO,1485.0,2197.0,67.59217114246701
RU,62.0,2197.0,2.822030040964952
SM,,2197.0,
RS,9.0,2197.0,0.40964952207555755
SK,2.0,2197.0,0.09103322712790168
SI,,2197.0,
ES,34.0,2197.0,1.5475648611743287
SE,4.0,2197.0,0.18206645425580337
CH,2.0,2197.0,0.09103322712790168
TR,22.0,2197.0,1.0013654984069187
UA,102.0,2197.0,4.642694583522986
GB,160.0,2197.0,7.282658170232134
GR,8.0,2197.0,0.36413290851160673
