ISO 2,count,flux_num,flux_percentage
AL,,277.0,
AD,,277.0,
AT,,277.0,
BY,,277.0,
BE,1.0,277.0,0.36101083032490977
BA,2.0,277.0,0.7220216606498195
BG,5.0,277.0,1.8050541516245486
HR,2.0,277.0,0.7220216606498195
CZ,,277.0,
DK,1.0,277.0,0.36101083032490977
EE,,277.0,
FI,1.0,277.0,0.36101083032490977
FR,13.0,277.0,4.693140794223827
DE,4.0,277.0,1.444043321299639
VA,,277.0,
HU,2.0,277.0,0.7220216606498195
IS,,277.0,
IE,,277.0,
IT,6.0,277.0,2.166064981949458
LV,,277.0,
LI,,277.0,
LT,,277.0,
LU,,277.0,
MK,4.0,277.0,1.444043321299639
MT,,277.0,
MD,2.0,277.0,0.7220216606498195
MC,1.0,277.0,0.36101083032490977
ME,4.0,277.0,1.444043321299639
NL,3.0,277.0,1.083032490974729
NO,1.0,277.0,0.36101083032490977
PL,1.0,277.0,0.36101083032490977
PT,1.0,277.0,0.36101083032490977
RO,,277.0,
RU,7.0,277.0,2.527075812274368
SM,,277.0,
RS,197.0,277.0,71.11913357400722
SK,,277.0,
SI,2.0,277.0,0.7220216606498195
ES,3.0,277.0,1.083032490974729
SE,1.0,277.0,0.36101083032490977
CH,1.0,277.0,0.36101083032490977
TR,3.0,277.0,1.083032490974729
UA,3.0,277.0,1.083032490974729
GB,5.0,277.0,1.8050541516245486
GR,1.0,277.0,0.36101083032490977
