ISO 2,count,flux_num,flux_percentage
AL,,317.0,
AD,,317.0,
AT,4.0,317.0,1.2618296529968454
BY,,317.0,
BE,,317.0,
BA,,317.0,
BG,1.0,317.0,0.31545741324921134
HR,,317.0,
CZ,1.0,317.0,0.31545741324921134
DK,,317.0,
EE,,317.0,
FI,1.0,317.0,0.31545741324921134
FR,6.0,317.0,1.8927444794952681
DE,3.0,317.0,0.9463722397476341
VA,1.0,317.0,0.31545741324921134
HU,,317.0,
IS,1.0,317.0,0.31545741324921134
IE,1.0,317.0,0.31545741324921134
IT,6.0,317.0,1.8927444794952681
LV,1.0,317.0,0.31545741324921134
LI,,317.0,
LT,1.0,317.0,0.31545741324921134
LU,,317.0,
MK,1.0,317.0,0.31545741324921134
MT,,317.0,
MD,,317.0,
MC,,317.0,
ME,1.0,317.0,0.31545741324921134
NL,,317.0,
NO,,317.0,
PL,3.0,317.0,0.9463722397476341
PT,,317.0,
RO,1.0,317.0,0.31545741324921134
RU,255.0,317.0,80.4416403785489
SM,,317.0,
RS,,317.0,
SK,2.0,317.0,0.6309148264984227
SI,,317.0,
ES,3.0,317.0,0.9463722397476341
SE,,317.0,
CH,,317.0,
TR,3.0,317.0,0.9463722397476341
UA,11.0,317.0,3.4700315457413247
GB,8.0,317.0,2.5236593059936907
GR,2.0,317.0,0.6309148264984227
