ISO 2,count,flux_num,flux_percentage
AL,1.0,1050.0,0.09523809523809523
AD,,1050.0,
AT,4.0,1050.0,0.38095238095238093
BY,2.0,1050.0,0.19047619047619047
BE,2.0,1050.0,0.19047619047619047
BA,2.0,1050.0,0.19047619047619047
BG,,1050.0,
HR,,1050.0,
CZ,,1050.0,
DK,9.0,1050.0,0.8571428571428572
EE,,1050.0,
FI,10.0,1050.0,0.9523809523809524
FR,30.0,1050.0,2.857142857142857
DE,28.0,1050.0,2.666666666666667
VA,1.0,1050.0,0.09523809523809523
HU,2.0,1050.0,0.19047619047619047
IS,5.0,1050.0,0.4761904761904762
IE,3.0,1050.0,0.2857142857142857
IT,16.0,1050.0,1.5238095238095237
LV,4.0,1050.0,0.38095238095238093
LI,,1050.0,
LT,,1050.0,
LU,,1050.0,
MK,,1050.0,
MT,,1050.0,
MD,3.0,1050.0,0.2857142857142857
MC,,1050.0,
ME,,1050.0,
NL,8.0,1050.0,0.7619047619047619
NO,16.0,1050.0,1.5238095238095237
PL,1.0,1050.0,0.09523809523809523
PT,1.0,1050.0,0.09523809523809523
RO,,1050.0,
RU,16.0,1050.0,1.5238095238095237
SM,,1050.0,
RS,1.0,1050.0,0.09523809523809523
SK,2.0,1050.0,0.19047619047619047
SI,,1050.0,
ES,16.0,1050.0,1.5238095238095237
SE,774.0,1050.0,73.71428571428571
CH,4.0,1050.0,0.38095238095238093
TR,4.0,1050.0,0.38095238095238093
UA,12.0,1050.0,1.1428571428571428
GB,72.0,1050.0,6.857142857142858
GR,1.0,1050.0,0.09523809523809523
