ISO 2,count,flux_num,flux_percentage
AL,,1257.0,
AD,,1257.0,
AT,123.0,1257.0,9.785202863961814
BY,,1257.0,
BE,3.0,1257.0,0.23866348448687352
BA,3.0,1257.0,0.23866348448687352
BG,7.0,1257.0,0.5568814638027049
HR,25.0,1257.0,1.988862370723946
CZ,3.0,1257.0,0.23866348448687352
DK,,1257.0,
EE,1.0,1257.0,0.07955449482895784
FI,,1257.0,
FR,31.0,1257.0,2.4661893396976926
DE,12.0,1257.0,0.9546539379474941
VA,1.0,1257.0,0.07955449482895784
HU,3.0,1257.0,0.23866348448687352
IS,,1257.0,
IE,3.0,1257.0,0.23866348448687352
IT,32.0,1257.0,2.5457438345266508
LV,,1257.0,
LI,,1257.0,
LT,1.0,1257.0,0.07955449482895784
LU,,1257.0,
MK,,1257.0,
MT,,1257.0,
MD,,1257.0,
MC,,1257.0,
ME,3.0,1257.0,0.23866348448687352
NL,2.0,1257.0,0.15910898965791567
NO,4.0,1257.0,0.31821797931583135
PL,5.0,1257.0,0.3977724741447892
PT,5.0,1257.0,0.3977724741447892
RO,2.0,1257.0,0.15910898965791567
RU,10.0,1257.0,0.7955449482895784
SM,,1257.0,
RS,7.0,1257.0,0.5568814638027049
SK,4.0,1257.0,0.31821797931583135
SI,893.0,1257.0,71.04216388225935
ES,13.0,1257.0,1.0342084327764518
SE,5.0,1257.0,0.3977724741447892
CH,1.0,1257.0,0.07955449482895784
TR,2.0,1257.0,0.15910898965791567
UA,7.0,1257.0,0.5568814638027049
GB,41.0,1257.0,3.261734287987271
GR,5.0,1257.0,0.3977724741447892
