ISO 2,count,flux_num,flux_percentage
AL,2.0,1851.0,0.10804970286331712
AD,2.0,1851.0,0.10804970286331712
AT,41.0,1851.0,2.215018908698001
BY,5.0,1851.0,0.2701242571582928
BE,5.0,1851.0,0.2701242571582928
BA,5.0,1851.0,0.2701242571582928
BG,3.0,1851.0,0.1620745542949757
HR,5.0,1851.0,0.2701242571582928
CZ,29.0,1851.0,1.5667206915180982
DK,7.0,1851.0,0.37817396002160997
EE,,1851.0,
FI,10.0,1851.0,0.5402485143165856
FR,144.0,1851.0,7.779578606158834
DE,36.0,1851.0,1.9448946515397085
VA,5.0,1851.0,0.2701242571582928
HU,41.0,1851.0,2.215018908698001
IS,3.0,1851.0,0.1620745542949757
IE,15.0,1851.0,0.8103727714748784
IT,35.0,1851.0,1.89086980010805
LV,1.0,1851.0,0.05402485143165856
LI,3.0,1851.0,0.1620745542949757
LT,,1851.0,
LU,2.0,1851.0,0.10804970286331712
MK,,1851.0,
MT,1.0,1851.0,0.05402485143165856
MD,3.0,1851.0,0.1620745542949757
MC,1.0,1851.0,0.05402485143165856
ME,1.0,1851.0,0.05402485143165856
NL,7.0,1851.0,0.37817396002160997
NO,5.0,1851.0,0.2701242571582928
PL,17.0,1851.0,0.9184224743381956
PT,11.0,1851.0,0.5942733657482442
RO,2.0,1851.0,0.10804970286331712
RU,65.0,1851.0,3.5116153430578065
SM,1.0,1851.0,0.05402485143165856
RS,7.0,1851.0,0.37817396002160997
SK,1026.0,1851.0,55.42949756888168
SI,2.0,1851.0,0.10804970286331712
ES,29.0,1851.0,1.5667206915180982
SE,5.0,1851.0,0.2701242571582928
CH,8.0,1851.0,0.4321988114532685
TR,15.0,1851.0,0.8103727714748784
UA,84.0,1851.0,4.538087520259319
GB,156.0,1851.0,8.427876823338735
GR,6.0,1851.0,0.3241491085899514
