ISO 2,count,flux_num,flux_percentage
AL,,2595.0,
AD,6.0,2595.0,0.23121387283236997
AT,28.0,2595.0,1.0789980732177264
BY,2.0,2595.0,0.07707129094412332
BE,1.0,2595.0,0.03853564547206166
BA,2.0,2595.0,0.07707129094412332
BG,2.0,2595.0,0.07707129094412332
HR,9.0,2595.0,0.3468208092485549
CZ,6.0,2595.0,0.23121387283236997
DK,7.0,2595.0,0.2697495183044316
EE,,2595.0,
FI,3.0,2595.0,0.11560693641618498
FR,34.0,2595.0,1.3102119460500963
DE,21.0,2595.0,0.8092485549132947
VA,3.0,2595.0,0.11560693641618498
HU,9.0,2595.0,0.3468208092485549
IS,2.0,2595.0,0.07707129094412332
IE,4.0,2595.0,0.15414258188824664
IT,493.0,2595.0,18.998073217726397
LV,,2595.0,
LI,,2595.0,
LT,1.0,2595.0,0.03853564547206166
LU,1.0,2595.0,0.03853564547206166
MK,,2595.0,
MT,5.0,2595.0,0.1926782273603083
MD,5.0,2595.0,0.1926782273603083
MC,1.0,2595.0,0.03853564547206166
ME,2.0,2595.0,0.07707129094412332
NL,5.0,2595.0,0.1926782273603083
NO,2.0,2595.0,0.07707129094412332
PL,1.0,2595.0,0.03853564547206166
PT,6.0,2595.0,0.23121387283236997
RO,,2595.0,
RU,118.0,2595.0,4.547206165703275
SM,1654.0,2595.0,63.737957610789984
RS,3.0,2595.0,0.11560693641618498
SK,,2595.0,
SI,2.0,2595.0,0.07707129094412332
ES,21.0,2595.0,0.8092485549132947
SE,9.0,2595.0,0.3468208092485549
CH,6.0,2595.0,0.23121387283236997
TR,7.0,2595.0,0.2697495183044316
UA,8.0,2595.0,0.3082851637764933
GB,94.0,2595.0,3.6223506743737954
GR,12.0,2595.0,0.46242774566473993
