ISO 2,count,flux_num,flux_percentage
AL,,167.0,
AD,,167.0,
AT,,167.0,
BY,,167.0,
BE,,167.0,
BA,,167.0,
BG,1.0,167.0,0.5988023952095809
HR,,167.0,
CZ,,167.0,
DK,,167.0,
EE,,167.0,
FI,,167.0,
FR,2.0,167.0,1.1976047904191618
DE,1.0,167.0,0.5988023952095809
VA,,167.0,
HU,,167.0,
IS,,167.0,
IE,,167.0,
IT,5.0,167.0,2.9940119760479043
LV,,167.0,
LI,,167.0,
LT,,167.0,
LU,,167.0,
MK,,167.0,
MT,,167.0,
MD,,167.0,
MC,,167.0,
ME,1.0,167.0,0.5988023952095809
NL,1.0,167.0,0.5988023952095809
NO,,167.0,
PL,,167.0,
PT,,167.0,
RO,,167.0,
RU,8.0,167.0,4.790419161676647
SM,,167.0,
RS,,167.0,
SK,1.0,167.0,0.5988023952095809
SI,,167.0,
ES,,167.0,
SE,1.0,167.0,0.5988023952095809
CH,,167.0,
TR,137.0,167.0,82.03592814371258
UA,4.0,167.0,2.3952095808383236
GB,2.0,167.0,1.1976047904191618
GR,3.0,167.0,1.7964071856287425
