ISO 2,count,flux_num,flux_percentage
AL,,1000.0,
AD,,1000.0,
AT,2.0,1000.0,0.2
BY,4.0,1000.0,0.4
BE,3.0,1000.0,0.3
BA,,1000.0,
BG,1.0,1000.0,0.1
HR,,1000.0,
CZ,,1000.0,
DK,,1000.0,
EE,3.0,1000.0,0.3
FI,1.0,1000.0,0.1
FR,13.0,1000.0,1.3
DE,5.0,1000.0,0.5
VA,,1000.0,
HU,3.0,1000.0,0.3
IS,,1000.0,
IE,1.0,1000.0,0.1
IT,2.0,1000.0,0.2
LV,4.0,1000.0,0.4
LI,,1000.0,
LT,1.0,1000.0,0.1
LU,,1000.0,
MK,,1000.0,
MT,,1000.0,
MD,2.0,1000.0,0.2
MC,,1000.0,
ME,,1000.0,
NL,1.0,1000.0,0.1
NO,,1000.0,
PL,3.0,1000.0,0.3
PT,,1000.0,
RO,3.0,1000.0,0.3
RU,143.0,1000.0,14.299999999999999
SM,,1000.0,
RS,1.0,1000.0,0.1
SK,,1000.0,
SI,,1000.0,
ES,6.0,1000.0,0.6
SE,2.0,1000.0,0.2
CH,2.0,1000.0,0.2
TR,7.0,1000.0,0.7000000000000001
UA,771.0,1000.0,77.10000000000001
GB,16.0,1000.0,1.6
GR,,1000.0,
