ISO 2,count,flux_num,flux_percentage
AL,5.0,13413.0,0.03727726832177738
AD,,13413.0,
AT,29.0,13413.0,0.21620815626630882
BY,1.0,13413.0,0.007455453664355477
BE,16.0,13413.0,0.11928725862968763
BA,4.0,13413.0,0.029821814657421907
BG,11.0,13413.0,0.08200999030791024
HR,3.0,13413.0,0.022366360993066426
CZ,8.0,13413.0,0.059643629314843814
DK,3.0,13413.0,0.022366360993066426
EE,,13413.0,
FI,3.0,13413.0,0.022366360993066426
FR,66.0,13413.0,0.4920599418474614
DE,48.0,13413.0,0.3578617758890628
VA,7420.0,13413.0,55.31946618951763
HU,5.0,13413.0,0.03727726832177738
IS,2.0,13413.0,0.014910907328710954
IE,9.0,13413.0,0.06709908297919928
IT,5378.0,13413.0,40.09542980690375
LV,3.0,13413.0,0.022366360993066426
LI,,13413.0,
LT,9.0,13413.0,0.06709908297919928
LU,1.0,13413.0,0.007455453664355477
MK,3.0,13413.0,0.022366360993066426
MT,3.0,13413.0,0.022366360993066426
MD,3.0,13413.0,0.022366360993066426
MC,,13413.0,
ME,,13413.0,
NL,15.0,13413.0,0.11183180496533215
NO,3.0,13413.0,0.022366360993066426
PL,11.0,13413.0,0.08200999030791024
PT,7.0,13413.0,0.05218817565048833
RO,23.0,13413.0,0.17147543428017595
RU,17.0,13413.0,0.12674271229404308
SM,,13413.0,
RS,4.0,13413.0,0.029821814657421907
SK,2.0,13413.0,0.014910907328710954
SI,4.0,13413.0,0.029821814657421907
ES,112.0,13413.0,0.8350108104078133
SE,3.0,13413.0,0.022366360993066426
CH,9.0,13413.0,0.06709908297919928
TR,12.0,13413.0,0.0894654439722657
UA,37.0,13413.0,0.2758517855811526
GB,110.0,13413.0,0.8200999030791023
GR,11.0,13413.0,0.08200999030791024
