,"ADM0_A3","ISO 2","pop_2021","GDP_2021","GDP_capita_2021"
0,"ALB","AL",2811666,18255787479.1846,6492.87201224634
1,"AND","AD",79034,3330281523.53915,42137.3272710372
2,"AUT","AT",8955797,480368403893.364,53637.7057109897
3,"BLR","BY",9340314,68205380706.6609,7302.25779418774
4,"BEL","BE",11592952,594104177539.525,51247.0143531626
5,"BIH","BA",3270943,23365361635.2201,7143.3105484321
6,"BGR","BG",6877743,84056312734.3089,12221.4966064171
7,"HRV","HR",3899000,68955083280.1922,17685.3252834553
8,"CZE","CZ",10505772,281777887121.451,26821.2452279995
9,"DNK","DK",5856733,398303272764.46,68007.7566732954
10,"EST","EE",1330932,37191166151.98,27943.701219882
11,"FIN","FI",5541017,297301883523.251,53654.7502964259
12,"FRA","FR",67749632,2957879759263.52,43658.9789781222
13,"DEU","DE",83196078,4259934911821.64,51203.5544731043
14,"VAT","VA",825,21000000,25454.545454545
15,"HUN","HU",9709891,181848022233.89,18728.1218948689
16,"ISL","IS",372520,25602419210.3374,68727.636664709
17,"IRL","IE",5033165,504182603275.542,100172.079253421
18,"ITA","IT",59109668,2107702842669.73,35657.4975631691
19,"LVA","LV",1884490,39853501579.8211,21148.1629405415
20,"LIE","LI",39039,6114000000,156612.61815108
21,"LTU","LT",2800839,66445256585.3671,23723.3402510345
22,"LUX","LU",640064,85506243833.7816,133590.146975586
23,"MKD","MK",2065092,13825049831.7959,6694.64112581709
24,"MLT","MT",518536,17364044943.8202,33486.671983855
25,"MDA","MD",2615199,13679221333.2052,5230.66173289497
26,"MCO","MC",36686,8596096984.03312,234315.460503547
27,"MNE","ME",619211,5861268038.7982,9465.70399879557
28,"NLD","NL",17533044,1012846760976.73,57767.8788108173
29,"NOR","NO",5408320,482174854481.956,89154.2760934922
30,"POL","PL",37747124,679444832854.295,17999.9099495446
31,"PRT","PT",10325147,253663144586.019,24567.5092651
32,"ROU","RO",19119880,284087563695.798,14858.2294290445
33,"RUS","RU",143449286,1778782625793.74,12194.77734375
34,"SMR","SM",33745,1541000000,45666.024596236
35,"SRB","RS",6834326,63082047649.8528,9230.17831602601
36,"SVK","SK",5447247,116527101097.7,21391.9253336042
37,"SVN","SI",2108079,61748586534.8672,29291.4006234431
38,"ESP","ES",47415750,1427380681294.55,30103.513733191
39,"SWE","SE",10415811,635663801201.765,61028.7380600287
40,"CHE","CH",8703405,800640155387.26,91991.6004583563
41,"TUR","TR",84775404,819035182929.585,9661.23597511355
42,"UKR","UA",43792855,200085537744.354,4835.57177734375
43,"GBR","GB",67326569,3131377762925.95,46510.2827819127
44,"GRC","GR",10641221,214873879833.648,20192.5963039061
