,"AL","AD","AT","BY","BE","BA","BG","HR","CZ","DK","EE","FI","FR","DE","VA","HU","IS","IE","IT","LV","LI","LT","LU","MK","MT","MD","MC","ME","NL","NO","PL","PT","RO","RU","SM","RS","SK","SI","ES","SE","CH","TR","UA","GB","GR"
"AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8344,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1838,0,0,29643
"AD",0,0,0,0,230,0,0,0,0,119,0,0,4194,364,0,0,0,0,492,0,0,0,0,0,0,0,0,0,262,0,0,11534,0,0,0,0,0,0,22196,51,85,0,0,1135,0
"AT",4398,3,0,2113,3013,168798,29257,46770,37118,1368,571,1771,9184,232836,0,79205,206,1290,34205,1708,332,1537,1178,26880,121,3298,23,1937,9128,860,75752,2930,121355,34745,1,177609,42800,24263,7575,3051,15405,159999,14046,11721,6778
"BY",0,0,57,0,34,0,59,0,93,195,3194,2079,0,64,0,335,0,22,22,10332,0,17130,0,0,0,7496,0,0,0,59,470,0,21,672481,0,33,25,0,33,333,27,23,222436,453,105
"BE",11937,42,3354,585,0,714,37595,558,800,2467,962,2666,189544,81650,0,8293,231,3425,121283,1854,6,2447,14435,1803,488,2254,138,36,133062,1195,78798,37506,92559,8210,14,769,1752,268,49754,3204,5370,101925,2648,22472,18201
"BA",0,0,194,0,0,0,0,11956,0,0,0,0,162,516,0,148,0,0,106,0,0,0,0,2875,0,0,0,4108,0,0,0,0,379,164,0,9550,3165,1831,0,0,0,0,0,0,0
"BG",1351,0,1938,1110,2606,164,0,125,1533,555,103,211,3021,12588,0,391,29,385,3994,218,1,158,109,4614,165,3144,12,41,1772,545,1946,569,3519,32789,4,3245,394,129,7450,514,600,14454,11275,11981,8061
"HR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ",487,0,3002,5864,819,3178,15166,1898,0,423,256,412,3817,17983,0,1695,43,689,4893,679,0,748,26,2572,32,10102,6,148,3045,238,21694,507,9659,37471,0,3665,113773,478,1524,576,684,3077,131316,6410,1248
"DK",568,5,1984,820,2426,17182,10026,2244,1986,0,1485,4104,8182,37111,0,5668,8479,2209,9887,5301,24,13429,599,3740,136,980,20,313,8085,20581,42528,2900,28985,6499,0,3674,2896,468,7934,24246,2916,33385,11400,21428,3702
"EE",41,1,196,10521,273,2,336,47,302,225,0,5928,960,2507,0,246,42,330,1251,6029,0,2169,28,19,14,1125,0,8,342,458,744,236,306,119097,0,52,177,40,730,952,136,468,24170,1297,171
"FI",706,2,660,443,690,811,2566,293,332,1122,47280,0,2684,6834,0,2376,179,668,3023,2436,0,1366,105,212,53,345,9,15,1653,1852,5018,598,3871,15212,0,252,334,102,3046,33412,1148,7644,2851,6460,1674
"FR",8925,1120,9993,3887,163609,15944,34807,8974,8907,5805,1312,3479,0,203426,0,11882,436,10765,325933,3470,29,3729,15941,5133,442,7503,28539,1604,40825,4653,94525,639888,138550,73208,251,96899,5560,2752,282397,8272,108987,340271,18166,169565,15488
"DE",61063,0,285790,28325,38772,221720,314911,385778,603049,28815,13007,18072,161772,0,0,220774,2164,15529,694514,38760,338,55291,23232,108634,831,25733,0,17407,165391,9804,2141722,152869,654822,1198831,0,199691,60815,44089,186074,22178,93524,1837282,289743,118246,391502
"VA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HU",503,0,11188,266,2574,438,1421,2282,1487,643,160,922,4839,35636,0,0,148,2046,6187,194,3,264,285,301,159,594,7,91,4264,1479,3383,630,214514,4583,3,48194,20980,454,2599,1858,3692,3391,70944,15065,1361
"IS",220,2,163,68,206,273,515,716,810,3918,178,236,910,2148,0,505,0,150,525,1922,0,3171,180,84,9,113,0,12,408,1390,21102,1082,1675,492,2,752,517,70,991,2357,226,104,437,1857,181
"IE",340,1,898,698,1877,732,2263,578,6972,1122,3145,1107,12780,16475,0,9409,41,0,9070,25371,1,44229,177,751,426,4340,6,0,5708,347,146211,2848,22839,7532,0,0,13573,239,8886,2140,633,559,5232,305197,728
"IT",486187,44,15672,13321,45918,29487,61805,22130,9536,3186,1535,2819,128283,211223,166,13413,204,3796,0,3688,110,6317,4648,68840,1984,194480,1589,2240,13214,1825,113874,6735,1048862,82890,1932,86911,10611,4693,35124,6228,193568,20513,248460,66500,17196
"LV",12,0,101,42251,123,9,112,8,159,238,2847,151,279,2163,0,183,53,936,328,0,0,14209,10,17,23,1707,0,1,161,443,767,42,71,116771,0,22,36,12,220,272,97,229,32262,3712,51
"LI",2,0,3983,3,43,299,20,115,63,15,1,8,129,1911,0,80,0,18,861,7,0,3,2,95,3,7,0,5,80,7,76,424,37,69,0,428,55,107,267,25,14437,581,61,65,47
"LT",28,0,80,33813,272,2,140,35,120,605,822,164,519,2090,0,140,57,1790,643,5722,0,0,24,7,19,936,0,0,310,2763,1900,128,360,51718,0,13,71,10,833,555,100,233,20566,6620,103
"LU",1058,38,1026,324,21583,2732,1710,874,1061,1598,597,1154,42979,17080,0,1818,413,1429,18878,657,8,888,0,605,244,588,50,2715,3986,262,5051,75221,5225,2780,3,3682,869,599,5651,1460,1375,1435,1471,5633,3163
"MK",68113,0,0,0,0,8750,1075,1438,52,0,0,0,0,41,0,80,0,0,36,0,0,0,0,0,0,0,0,9269,0,0,99,0,22,214,0,18009,35,255,0,0,0,20011,63,0,232
"MT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MD",0,0,0,2076,0,0,113,0,181,0,0,0,0,701,0,109,0,0,3225,0,0,0,0,0,0,0,0,0,0,0,130,670,1880,40018,0,0,0,0,0,0,0,585,42436,0,443
"MC",0,0,0,0,0,0,0,0,0,0,0,0,7790,0,0,0,0,0,5978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ME",2763,0,256,0,0,32126,77,15523,119,96,0,0,446,1882,0,46,0,0,208,0,0,0,99,3329,0,0,0,0,154,0,97,0,104,927,0,8831,55,1622,0,150,211,86,140,102,55
"NL",2402,27,7242,529,61744,1059,30691,819,1345,4133,1352,3982,30917,123702,0,16746,563,6650,35908,5021,2,7326,1705,478,461,1000,112,10,0,3099,148991,19574,28691,5076,4,320,1671,549,31415,5397,8003,199280,3022,57243,19776
"NO",2174,12,1688,1211,1890,13946,7293,4897,2225,24842,4742,7182,6676,28327,0,4306,7786,1159,5040,10589,20,39856,149,2932,105,1228,13,486,9088,0,100479,3536,14872,18486,4,6778,3779,438,7350,48283,2427,12238,5693,19940,3352
"PL",165,0,4997,100175,6884,4584,2280,1034,5952,1173,259,327,34461,100688,0,1770,647,10014,13105,2043,0,66555,301,346,0,728,30,75,3413,2014,0,178,3270,50329,0,1363,1707,198,6357,1722,1337,1149,272594,45577,4085
"PT",55,425,576,1084,3924,46,5940,91,282,451,145,381,104164,30866,0,454,30,1789,3125,234,230,416,4502,310,47,22630,0,87,4542,378,1116,0,26113,6508,0,200,103,61,18175,920,18566,789,53384,21089,212
"RO",823,17,3282,243,4593,160,11846,373,841,2001,122,420,21756,30498,0,10491,102,3769,79752,326,5,354,303,242,104,285364,23,44,1803,1378,1379,2430,0,9608,8,2926,579,123,61861,1323,1080,9206,43363,31593,8458
