,AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
AL,0.0,0.0,4398.0,0.0,11937.0,0.0,1351.0,0.0,487.0,568.0,41.0,706.0,8925.0,61063.0,0.0,503.0,220.0,340.0,486187.0,12.0,2.0,28.0,1058.0,68113.0,0.0,0.0,0.0,2763.0,2402.0,2174.0,165.0,55.0,823.0,232.0,39.0,475.0,133.0,146.0,2615.0,5724.0,4323.0,4554.0,0.0,10458.0,446614.0
AD,0.0,0.0,3.0,0.0,42.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1120.0,0.0,0.0,0.0,2.0,1.0,44.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,0.0,425.0,17.0,0.0,0.0,0.0,0.0,0.0,7964.0,4.0,119.0,0.0,0.0,53.0,1.0
AT,0.0,0.0,0.0,57.0,3354.0,194.0,1938.0,0.0,3002.0,1984.0,196.0,660.0,9993.0,285790.0,0.0,11188.0,163.0,898.0,15672.0,101.0,3983.0,80.0,1026.0,0.0,0.0,0.0,0.0,256.0,7242.0,1688.0,4997.0,576.0,3282.0,2950.0,0.0,7132.0,4722.0,2814.0,11936.0,5901.0,59494.0,19717.0,0.0,21163.0,2295.0
BY,0.0,0.0,2113.0,0.0,585.0,0.0,1110.0,0.0,5864.0,820.0,10521.0,443.0,3887.0,28325.0,0.0,266.0,68.0,698.0,13321.0,42251.0,3.0,33813.0,324.0,0.0,0.0,2076.0,0.0,0.0,529.0,1211.0,100175.0,1084.0,243.0,763879.0,0.0,135.0,262.0,213.0,5245.0,3407.0,1662.0,410.0,249641.0,3635.0,1485.0
BE,0.0,230.0,3013.0,34.0,0.0,0.0,2606.0,0.0,819.0,2426.0,273.0,690.0,163609.0,38772.0,0.0,2574.0,206.0,1877.0,45918.0,123.0,43.0,272.0,21583.0,0.0,0.0,0.0,0.0,0.0,61744.0,1890.0,6884.0,3924.0,4593.0,469.0,0.0,220.0,1029.0,331.0,51896.0,3073.0,17370.0,12035.0,0.0,31425.0,5225.0
BA,0.0,0.0,168798.0,0.0,714.0,0.0,164.0,0.0,3178.0,17182.0,2.0,811.0,15944.0,221720.0,0.0,438.0,273.0,732.0,29487.0,9.0,299.0,2.0,2732.0,8750.0,0.0,0.0,0.0,32126.0,1059.0,13946.0,4584.0,46.0,160.0,513.0,0.0,342526.0,463.0,122235.0,2858.0,60912.0,57678.0,3253.0,0.0,9576.0,446.0
BG,0.0,0.0,29257.0,59.0,37595.0,0.0,0.0,0.0,15166.0,10026.0,336.0,2566.0,34807.0,314911.0,0.0,1421.0,515.0,2263.0,61805.0,112.0,20.0,140.0,1710.0,1075.0,0.0,113.0,0.0,77.0,30691.0,7293.0,2280.0,5940.0,11846.0,5836.0,0.0,1155.0,2596.0,1398.0,119741.0,9869.0,8600.0,661438.0,1760.0,103196.0,74359.0
HR,0.0,0.0,46770.0,0.0,558.0,11956.0,125.0,0.0,1898.0,2244.0,47.0,293.0,8974.0,385778.0,0.0,2282.0,716.0,578.0,22130.0,8.0,115.0,35.0,874.0,1438.0,0.0,0.0,0.0,15523.0,819.0,4897.0,1034.0,91.0,373.0,319.0,0.0,288708.0,1242.0,46599.0,2272.0,11446.0,19872.0,303.0,0.0,8610.0,435.0
CZ,0.0,0.0,37118.0,93.0,800.0,0.0,1533.0,0.0,0.0,1986.0,302.0,332.0,8907.0,603049.0,0.0,1487.0,810.0,6972.0,9536.0,159.0,63.0,120.0,1061.0,52.0,0.0,181.0,0.0,119.0,1345.0,2225.0,5952.0,282.0,841.0,11249.0,0.0,523.0,89560.0,382.0,11539.0,2309.0,15522.0,1557.0,0.0,45578.0,4516.0
DK,0.0,119.0,1368.0,195.0,2467.0,0.0,555.0,0.0,423.0,0.0,225.0,1122.0,5805.0,28815.0,0.0,643.0,3918.0,1122.0,3186.0,238.0,15.0,605.0,1598.0,0.0,0.0,0.0,0.0,96.0,4133.0,24842.0,1173.0,451.0,2001.0,229.0,0.0,184.0,326.0,69.0,11659.0,41033.0,5537.0,4627.0,0.0,26960.0,917.0
