,country,outdegree,indegree,total degree
AL,AL,6.412126958105636,12.8862071678931,19.298334125998736
AT,AT,69.26405,60.9143389448492,130.1783889448492
BY,BY,0.5189564814814817,16.87376643245543,17.39272291393691
BE,BE,111.48064999999997,81.98744668967284,193.4680966896728
BA,BA,23.012216393442653,4.936464485272004,27.948680878714658
BG,BG,17.427313333333377,25.875879535697322,43.303192869030696
HR,HR,22.705249206349148,39.47361267882803,62.178861885177184
CZ,CZ,37.353339890710345,32.26266358567269,69.61600347638304
DK,DK,45.9482375,45.58462186055831,91.5328593605583
EE,EE,10.855136708860746,11.138720190226763,21.99385689908751
FI,FI,47.056533333333334,21.333694474747944,68.39022780808128
FR,FR,159.31676249999998,920.3682173553102,1079.6849798553103
DE,DE,190.8378,270.98611643208073,461.82391643208075
VA,VA,5.843721960123551,11.449065921518999,17.29278788164255
HU,HU,21.13094222222217,42.209430388693136,63.34037261091531
IS,IS,10.88068016528925,31.163645777572153,42.044325942861406
IE,IE,310.68376041666664,137.39894758120047,448.08270799786715
IT,IT,167.4276153846153,322.0566045289362,489.4842199135515
LV,LV,7.8294371584699265,5.732699261799469,13.562136420269397
LT,LT,8.207104629629638,16.52264558338824,24.72975021301788
LU,LU,5.3438604735883395,8.633561321899725,13.977421795488064
MK,MK,3.127021645021645,10.66454628400271,13.791567929024357
MT,MT,15.959714285714293,7.6760226811279315,23.635736966842224
MD,MD,2.375493827160493,26.428910572255415,28.80440439941591
ME,ME,6.250616483516485,5.52684656850793,11.777463052024416
NL,NL,109.48041666666666,104.09995777142089,213.58037443808755
NO,NO,26.989822404371587,26.82053894790941,53.81036135228099
PL,PL,63.74603666666667,56.69028369524966,120.43632036191633
PT,PT,108.30686190476196,106.60674479848171,214.91360670324366
RO,RO,41.64849836065566,9.86618385468417,51.51468221533983
RU,RU,11.727018181818188,283.32645690017193,295.05347508199014
SM,SM,0.4307285459092515,1.6662012400453174,2.096929785954569
RS,RS,8.851846994535517,14.315168603740677,23.167015598276194
SK,SK,14.473565573770491,23.11176400970033,37.58532958347082
SI,SI,7.998850273224043,8.209512944288491,16.208363217512535
ES,ES,779.0221999999999,305.4906692996722,1084.512869299672
SE,SE,56.03859393939397,83.66475058364877,139.70334452304274
CH,CH,70.76929999999997,98.20921310508503,168.978513105085
TR,TR,83.70499999999998,78.12342581117036,161.82842581117035
UA,UA,36.079904166666665,232.90570897517196,268.9856131418386
GB,GB,1495.6504999999997,618.5412911257474,2114.191791125747
GR,GR,57.96088888888886,58.75303495183919,116.71392384072806
AD,AD,2.8708184065933966,3.417241071082271,6.2880594776756675
LI,LI,1.197553168044076,0.6584705468762161,1.8560237149202923
MC,MC,2.28383269230769,1.9192832517559686,4.203115944063659
