ISO 2,lat,lon,lat_lon
AL,41.141353306048785,20.03242643144321,"(41.141353306048785, 20.03242643144321)"
AD,42.3,1.3,"(42.3, 1.3)"
AT,47.6139487927463,14.076158884337072,"(47.6139487927463, 14.076158884337072)"
BY,53.50634479481114,27.98135261544803,"(53.50634479481114, 27.98135261544803)"
BE,50.65244095902296,4.580834113854935,"(50.65244095902296, 4.580834113854935)"
BA,44.1807677629747,17.816883270390086,"(44.1807677629747, 17.816883270390086)"
BG,42.7531187620217,25.19511095327711,"(42.7531187620217, 25.19511095327711)"
HR,45.1,15.3,"(45.1, 15.3)"
CZ,49.775245294369,15.334558102365815,"(49.775245294369, 15.334558102365815)"
DK,56.06393446179454,9.876372937675002,"(56.06393446179454, 9.876372937675002)"
EE,58.643695426630906,25.824725613026608,"(58.643695426630906, 25.824725613026608)"
FI,64.50409403963651,26.211764610296353,"(64.50409403963651, 26.211764610296353)"
FR,46.0,2.0,"(46.0, 2.0)"
DE,51.13372269040778,10.288485092742851,"(51.13372269040778, 10.288485092742851)"
GB,53.91477348053706,-2.8531353951805545,"(53.91477348053706, -2.8531353951805545)"
GR,39.066715899713955,22.719813447095053,"(39.066715899713955, 22.719813447095053)"
HU,47.19995117195427,19.357628627745918,"(47.19995117195427, 19.357628627745918)"
IS,65.07427633529105,-18.761028770831768,"(65.07427633529105, -18.761028770831768)"
IE,53.18059120995006,-8.010236544877012,"(53.18059120995006, -8.010236544877012)"
IT,42.751183052964265,12.140788372235871,"(42.751183052964265, 12.140788372235871)"
LV,56.80717513427924,24.833296149803438,"(56.80717513427924, 24.833296149803438)"
LI,47.16,9.32,"(47.16, 9.32)"
LT,55.284319484766066,23.88064027584349,"(55.284319484766066, 23.88064027584349)"
LU,49.76570507415103,5.965223432343999,"(49.76570507415103, 5.965223432343999)"
MK,41.60592964714007,21.697903375280845,"(41.60592964714007, 21.697903375280845)"
MT,35.5,14.35,"(35.5, 14.35)"
MD,47.20367642606752,28.41048279080328,"(47.20367642606752, 28.41048279080328)"
MC,43.44,7.24,"(43.44, 7.24)"
ME,42.78903960655908,19.2861817215929,"(42.78903960655908, 19.2861817215929)"
NL,52.298700374441786,5.512217100965399,"(52.298700374441786, 5.512217100965399)"
NO,62.0,10.0,"(62.0, 10.0)"
PL,52.14826021933187,19.31101430844868,"(52.14826021933187, 19.31101430844868)"
PT,39.63404977497817,-8.055765588295687,"(39.63404977497817, -8.055765588295687)"
RO,45.857101035738005,24.943252494635377,"(45.857101035738005, 24.943252494635377)"
SM,43.46,12.25,"(43.46, 12.25)"
RS,44.23303653365162,20.819651926382583,"(44.23303653365162, 20.819651926382583)"
SK,48.7267113517275,19.507657147433708,"(48.7267113517275, 19.507657147433708)"
SI,46.12542205901039,14.938152320795732,"(46.12542205901039, 14.938152320795732)"
ES,40.348656106226734,-3.6170206023873743,"(40.348656106226734, -3.6170206023873743)"
SE,62.811484968080336,16.59626584684802,"(62.811484968080336, 16.59626584684802)"
CH,46.79173768366762,8.118300613385486,"(46.79173768366762, 8.118300613385486)"
UA,49.14882260840351,31.229122070266495,"(49.14882260840351, 31.229122070266495)"
VA,41.54,12.27,"(41.54, 12.27)"
RU,55.76,37.62,"(55.76, 37.62)"
TR,39.06837194061471,35.116900150938406,"(39.06837194061471, 35.116900150938406)"
