source,target,weight
AL,AT,0.0782648451730417
AL,BY,0.0391324225865208
AL,BE,0.0614938069216757
AL,BA,0.1341683060109288
AL,BG,0.4136856102003637
AL,HR,0.0838551912568305
AL,CZ,0.0279517304189435
AL,DK,0.0335420765027322
AL,EE,0.0111806921675773
AL,FI,0.0111806921675773
AL,FR,0.799419489981784
AL,DE,0.184481420765027
AL,VA,0.0391324225865208
AL,HU,0.0111806921675773
AL,IS,0.0614938069216757
AL,IE,0.055903460837887
AL,IT,0.4751794171220395
AL,LV,0.0167710382513661
AL,LT,0.0055903460837886
AL,LU,0.0111806921675773
AL,MK,0.1565296903460835
AL,MT,0.0391324225865208
AL,MD,0.0670841530054644
AL,ME,0.1397586520947175
AL,NL,0.0503131147540983
AL,NO,0.0391324225865208
AL,PL,0.0447227686703095
AL,PT,0.0279517304189435
AL,RO,0.0223613843351547
AL,RU,0.5310828779599265
AL,SM,0.0055903460837886
AL,RS,0.3410111111111107
AL,SK,0.0167710382513661
AL,SI,0.0055903460837886
AL,ES,0.1453489981785062
AL,SE,0.055903460837887
AL,CH,0.0503131147540983
AL,TR,0.4248663023679411
AL,UA,0.4807697632058281
AL,GB,0.6261187613843343
AL,GR,0.5869863387978135
AD,AL,0.0036385531135531
AD,AT,0.0218313186813186
AD,BE,0.0145542124542124
AD,BG,0.0109156593406593
AD,HR,0.0109156593406593
AD,DK,0.0181927655677654
AD,FR,0.4657347985347968
AD,DE,0.0691325091575089
AD,VA,0.0109156593406593
AD,HU,0.0072771062271062
AD,IS,0.0218313186813186
AD,IE,0.0218313186813186
AD,IT,0.1382650183150178
AD,LV,0.0036385531135531
AD,LI,0.0072771062271062
AD,LT,0.0036385531135531
AD,MT,0.0145542124542124
AD,MD,0.0109156593406593
AD,MC,0.0036385531135531
AD,ME,0.0036385531135531
AD,NL,0.0072771062271062
AD,NO,0.0109156593406593
AD,PL,0.0181927655677654
AD,PT,0.0473011904761903
AD,RO,0.0072771062271062
AD,RU,0.0582168498168496
AD,SM,0.0072771062271062
AD,RS,0.0036385531135531
AD,SI,0.0072771062271062
AD,ES,1.5391079670329617
AD,SE,0.0181927655677654
AD,CH,0.0291084249084248
AD,TR,0.0291084249084248
AD,UA,0.0473011904761903
AD,GB,0.1637348901098895
AD,GR,0.0145542124542124
AT,AD,0.0967375
AT,BY,0.38695
AT,BE,2.2249625
AT,BA,0.38695
AT,BG,0.0967375
AT,HR,0.38695
AT,CZ,1.5478
AT,DK,0.580425
AT,EE,0.38695
AT,FI,0.580425
AT,FR,6.2879375
AT,DE,8.8031125
AT,VA,0.0967375
AT,HU,1.6445375
AT,IS,0.0967375
AT,IE,0.7739
AT,IT,5.1270875
AT,LI,0.2902125
AT,MT,0.4836875
AT,MD,0.193475
AT,MC,0.193475
AT,ME,0.0967375
AT,NL,0.8706375
AT,NO,0.967375
AT,PL,1.2575875
AT,PT,0.4836875
AT,RO,0.4836875
AT,RU,3.9662375
AT,SM,0.0967375
AT,RS,0.193475
AT,SK,0.967375
AT,SI,0.38695
AT,ES,4.6434
AT,SE,0.193475
AT,CH,1.2575875
AT,TR,3.289075
AT,UA,4.1597125
AT,GB,14.7041
AT,GR,0.580425
BY,AD,0.0101756172839506
BY,AT,0.0101756172839506
BY,BG,0.0101756172839506
