lat_lon,AR,BO,BR,CL,CO,EC,PY,PE,UY,VE
0,"(-35.4468214894951, -65.17536077114173)","(-16.72898701530584, -64.64140560603113)","(-10.806773643498916, -53.05434003576711)","(-39.04701430994844, -71.5206439451643)","(3.927213862709704, -73.07773208697478)","(-1.4547717055405804, -78.38416674608374)","(-23.248041946292087, -58.387387833505706)","(-9.191562905134553, -74.39180581684722)","(-32.780904365230825, -56.003278666548475)","(7.162132267639002, -66.16382727830238)"
"(-35.4468214894951, -65.17536077114173)",0.0,2074.5279245568913,2991.8718056275734,690.0583400412598,4435.933546016772,4003.9277749280277,1503.1745560821778,3054.889603841072,895.9695108309108,4717.29458199034
"(-16.72898701530584, -64.64140560603113)",2074.5279245568913,0.0,1413.3240575487077,2562.3593976014267,2465.8778009717394,2263.1419904012346,973.9260835866176,1346.322176659695,1979.074053813963,2647.616141653165
"(-10.806773643498916, -53.05434003576711)",2991.8718056275734,1413.3240575487077,0.0,3625.570696046639,2752.7712706288767,2985.091671770482,1488.8463577821883,2345.747683378508,2452.0456045919177,2461.4224027839314
"(-39.04701430994844, -71.5206439451643)",690.0583400412598,2562.3593976014267,3625.570696046639,0.0,4760.671999751015,4221.047421244455,2148.047489609014,3319.6700336087238,1560.7558394768228,5145.5661982022775
"(3.927213862709704, -73.07773208697478)",4435.933546016772,2465.8778009717394,2752.7712706288767,4760.671999751015,0.0,838.2628821411298,3403.476586798644,1458.002378470185,4444.499811252455,845.3864837185829
"(-1.4547717055405804, -78.38416674608374)",4003.9277749280277,2263.1419904012346,2985.091671770482,4221.047421244455,838.2628821411298,0.0,3236.666937913833,963.0860376827369,4184.172713273829,1658.4471084110094
"(-23.248041946292087, -58.387387833505706)",1503.1745560821778,973.9260835866176,1488.8463577821883,2148.047489609014,3403.476586798644,3236.666937913833,0.0,2308.220542015692,1082.0409501756883,3468.8560347839943
"(-9.191562905134553, -74.39180581684722)",3054.889603841072,1346.322176659695,2345.747683378508,3319.6700336087238,1458.002378470185,963.0860376827369,2308.220542015692,0.0,3224.8287848742257,2025.6872341840228
"(-32.780904365230825, -56.003278666548475)",895.9695108309108,1979.074053813963,2452.0456045919177,1560.7558394768228,4444.499811252455,4184.172713273829,1082.0409501756883,3224.8287848742257,0.0,4549.670405296475
"(7.162132267639002, -66.16382727830238)",4717.29458199034,2647.616141653165,2461.4224027839314,5145.5661982022775,845.3864837185829,1658.4471084110094,3468.8560347839943,2025.6872341840228,4549.670405296475,0.0
