,AR,BO,BR,CL,CO,EC,PY,PE,UY,VE
AR,0.0,423136.0,49267.0,215198.0,8723.0,963.0,685714.0,197226.0,134043.0,176369.0
BO,47601.0,0.0,28612.0,5268.0,3301.0,1115.0,4772.0,12565.0,565.0,5707.0
BR,36910.0,49289.0,0.0,19596.0,8700.0,2195.0,49842.0,19074.0,30537.0,248105.0
CL,79253.0,128782.0,18976.0,0.0,173487.0,42266.0,6045.0,240273.0,5652.0,523553.0
CO,5719.0,1129.0,4685.0,4732.0,0.0,19180.0,,5680.0,662.0,1780486.0
EC,5645.0,1597.0,2774.0,11859.0,203470.0,0.0,252.0,14331.0,1002.0,388861.0
PY,61833.0,1092.0,79897.0,2283.0,,,0.0,,3168.0,
PE,26854.0,28165.0,16458.0,17615.0,14182.0,12795.0,1034.0,0.0,1384.0,941889.0
UY,33022.0,,14762.0,1536.0,,,1225.0,106.0,0.0,14908.0
VE,9374.0,1853.0,5680.0,14390.0,917753.0,34858.0,200.0,44319.0,4519.0,0.0
