"ISO 2","# slots 2 min","# tweets per day old","# tweets per day","pop","gdp"
"AR",336,257142.8571,64285.7142857143,45773884,632770284410
"BO",27008,3199.052132701,799.763033175355,12388571,43068885670
"BR",72,1200000,300000,216422446,1920095560000
"CL",1040,83076.923076923,20769.2307692308,19629590,317000000000
"CO",720,120000,30000,52085168,343939445260
"EC",2616,33027.52293578,8256.88073394495,18190484,106200000000
"PE",2932,29467.939972715,7366.98499317872,6861524,41722295360
"PY",3288,26277.372262774,6569.34306569343,34352719,242631549610
"UY",2492,34670.947030498,8667.7367576244,3423109,59320000000
"VE",2288,37762.237762238,9440.55944055944,28838499,482359318770
