,country,outdegree,indegree,total degree
AR,AR,387.85714285714283,304.6268636797909,692.4840065369337
BO,BO,17.114928909952607,69.39365414438363,86.50858305433624
BR,BR,320.0,322.67907685324883,642.6790768532488
CL,CL,233.30769230769232,149.833342383988,383.1410346916803
CO,CO,284.0,216.24688343004914,500.24688343004914
EC,EC,129.63302752293578,91.03288459428788,220.66591211722366
PY,PY,68.54014598540147,67.43000105153062,135.97014703693208
PE,PE,104.36562073669847,183.42835483021318,287.7939755669116
UY,UY,96.21187800963082,87.38527905379178,183.5971570634226
VE,VE,150.73426573426573,299.708362042436,450.4426277767018
