ISO 2,lat,lon,lat_lon
AR,-35.4468214894951,-65.17536077114173,"(-35.4468214894951, -65.17536077114173)"
BO,-16.72898701530584,-64.64140560603113,"(-16.72898701530584, -64.64140560603113)"
BR,-10.806773643498916,-53.05434003576711,"(-10.806773643498916, -53.05434003576711)"
CL,-39.04701430994844,-71.5206439451643,"(-39.04701430994844, -71.5206439451643)"
CO,3.927213862709704,-73.07773208697478,"(3.927213862709704, -73.07773208697478)"
EC,-1.4547717055405804,-78.38416674608374,"(-1.4547717055405804, -78.38416674608374)"
PY,-23.248041946292087,-58.387387833505706,"(-23.248041946292087, -58.387387833505706)"
PE,-9.191562905134553,-74.39180581684722,"(-9.191562905134553, -74.39180581684722)"
UY,-32.780904365230825,-56.003278666548475,"(-32.780904365230825, -56.003278666548475)"
VE,7.162132267639002,-66.16382727830238,"(7.162132267639002, -66.16382727830238)"
