ISO 2,count,code,flux_num,flux_percentage
Alabama,1632.0,AL,2789.0,58.51559698816781
Arizona,8.0,AZ,2789.0,0.28684116170670493
Arkansas,27.0,AR,2789.0,0.968088920760129
California,53.0,CA,2789.0,1.90032269630692
Colorado,10.0,CO,2789.0,0.35855145213338113
Connecticut,,CT,2789.0,
Delaware,,DE,2789.0,
District of Columbia,28.0,DC,2789.0,1.003944065973467
Florida,127.0,FL,2789.0,4.553603442093941
Georgia,72.0,GA,2789.0,2.5815704553603442
Idaho,,ID,2789.0,
Illinois,46.0,IL,2789.0,1.6493366798135531
Indiana,9.0,IN,2789.0,0.32269630692004303
Iowa,9.0,IA,2789.0,0.32269630692004303
Kansas,12.0,KS,2789.0,0.4302617425600574
Kentucky,40.0,KY,2789.0,1.4342058085335245
Louisiana,31.0,LA,2789.0,1.1115095016134815
Maine,4.0,ME,2789.0,0.14342058085335246
Maryland,9.0,MD,2789.0,0.32269630692004303
Massachusetts,9.0,MA,2789.0,0.32269630692004303
Michigan,24.0,MI,2789.0,0.8605234851201148
Minnesota,15.0,MN,2789.0,0.5378271782000718
Mississippi,28.0,MS,2789.0,1.003944065973467
Missouri,30.0,MO,2789.0,1.0756543564001435
Montana,12.0,MT,2789.0,0.4302617425600574
Nebraska,10.0,NE,2789.0,0.35855145213338113
Nevada,3.0,NV,2789.0,0.10756543564001435
New Hampshire,2.0,NH,2789.0,0.07171029042667623
New Jersey,8.0,NJ,2789.0,0.28684116170670493
New Mexico,3.0,NM,2789.0,0.10756543564001435
New York,45.0,NY,2789.0,1.6134815346002152
North Carolina,33.0,NC,2789.0,1.1832197920401577
North Dakota,,ND,2789.0,
Ohio,36.0,OH,2789.0,1.2907852276801721
Oklahoma,15.0,OK,2789.0,0.5378271782000718
Oregon,15.0,OR,2789.0,0.5378271782000718
Pennsylvania,16.0,PA,2789.0,0.5736823234134099
Rhode Island,1.0,RI,2789.0,0.035855145213338116
South Carolina,15.0,SC,2789.0,0.5378271782000718
South Dakota,1.0,SD,2789.0,0.035855145213338116
Tennessee,86.0,TN,2789.0,3.083542488347078
Texas,205.0,TX,2789.0,7.350304768734313
Utah,11.0,UT,2789.0,0.39440659734671923
Vermont,1.0,VT,2789.0,0.035855145213338116
Virginia,16.0,VA,2789.0,0.5736823234134099
West Virginia,3.0,WV,2789.0,0.10756543564001435
Wisconsin,25.0,WI,2789.0,0.8963786303334529
Wyoming,4.0,WY,2789.0,0.14342058085335246
