ISO 2,count,code,flux_num,flux_percentage
Alabama,14.0,AL,1550.0,0.903225806451613
Arizona,8.0,AZ,1550.0,0.5161290322580645
Arkansas,891.0,AR,1550.0,57.483870967741936
California,28.0,CA,1550.0,1.806451612903226
Colorado,10.0,CO,1550.0,0.6451612903225806
Connecticut,2.0,CT,1550.0,0.12903225806451613
Delaware,2.0,DE,1550.0,0.12903225806451613
District of Columbia,22.0,DC,1550.0,1.4193548387096775
Florida,41.0,FL,1550.0,2.6451612903225805
Georgia,14.0,GA,1550.0,0.903225806451613
Idaho,,ID,1550.0,
Illinois,37.0,IL,1550.0,2.3870967741935485
Indiana,2.0,IN,1550.0,0.12903225806451613
Iowa,8.0,IA,1550.0,0.5161290322580645
Kansas,20.0,KS,1550.0,1.2903225806451613
Kentucky,16.0,KY,1550.0,1.032258064516129
Louisiana,11.0,LA,1550.0,0.7096774193548387
Maine,5.0,ME,1550.0,0.3225806451612903
Maryland,3.0,MD,1550.0,0.1935483870967742
Massachusetts,3.0,MA,1550.0,0.1935483870967742
Michigan,15.0,MI,1550.0,0.967741935483871
Minnesota,10.0,MN,1550.0,0.6451612903225806
Mississippi,7.0,MS,1550.0,0.4516129032258065
Missouri,21.0,MO,1550.0,1.3548387096774193
Montana,3.0,MT,1550.0,0.1935483870967742
Nebraska,8.0,NE,1550.0,0.5161290322580645
Nevada,11.0,NV,1550.0,0.7096774193548387
New Hampshire,,NH,1550.0,
New Jersey,5.0,NJ,1550.0,0.3225806451612903
New Mexico,,NM,1550.0,
New York,32.0,NY,1550.0,2.064516129032258
North Carolina,7.0,NC,1550.0,0.4516129032258065
North Dakota,1.0,ND,1550.0,0.06451612903225806
Ohio,11.0,OH,1550.0,0.7096774193548387
Oklahoma,27.0,OK,1550.0,1.7419354838709675
Oregon,6.0,OR,1550.0,0.3870967741935484
Pennsylvania,14.0,PA,1550.0,0.903225806451613
Rhode Island,3.0,RI,1550.0,0.1935483870967742
South Carolina,3.0,SC,1550.0,0.1935483870967742
South Dakota,,SD,1550.0,
Tennessee,67.0,TN,1550.0,4.322580645161291
Texas,144.0,TX,1550.0,9.290322580645162
Utah,4.0,UT,1550.0,0.25806451612903225
Vermont,,VT,1550.0,
Virginia,4.0,VA,1550.0,0.25806451612903225
West Virginia,,WV,1550.0,
Wisconsin,8.0,WI,1550.0,0.5161290322580645
Wyoming,2.0,WY,1550.0,0.12903225806451613
