ISO 2,count,code,flux_num,flux_percentage
Alabama,25,AL,2393,1.0447137484329294
Arizona,17,AZ,2393,0.710405348934392
Arkansas,4,AR,2393,0.1671541997492687
California,64,CA,2393,2.6744671959882993
Colorado,11,CO,2393,0.45967404931048894
Connecticut,5,CT,2393,0.20894274968658588
Delaware,9,DE,2393,0.3760969494358546
District of Columbia,1188,DC,2393,49.6447973255328
Florida,94,FL,2393,3.928123694107814
Georgia,27,GA,2393,1.1282908483075638
Idaho,5,ID,2393,0.20894274968658588
Illinois,59,IL,2393,2.4655244463017136
Indiana,13,IN,2393,0.5432511491851233
Iowa,15,IA,2393,0.6268282490597576
Kansas,22,KS,2393,0.9193480986209779
Kentucky,12,KY,2393,0.5014625992478061
Louisiana,14,LA,2393,0.5850396991224405
Maine,7,ME,2393,0.29251984956122024
Maryland,71,MD,2393,2.9669870455495193
Massachusetts,29,MA,2393,1.2118679481821981
Michigan,25,MI,2393,1.0447137484329294
Minnesota,13,MN,2393,0.5432511491851233
Mississippi,13,MS,2393,0.5432511491851233
Missouri,6,MO,2393,0.25073129962390306
Montana,3,MT,2393,0.12536564981195153
Nebraska,14,NE,2393,0.5850396991224405
Nevada,8,NV,2393,0.3343083994985374
New Hampshire,4,NH,2393,0.1671541997492687
New Jersey,16,NJ,2393,0.6686167989970748
New Mexico,3,NM,2393,0.12536564981195153
New York,201,NY,2393,8.399498537400753
North Carolina,28,NC,2393,1.170079398244881
North Dakota,3,ND,2393,0.12536564981195153
Ohio,36,OH,2393,1.5043877977434184
Oklahoma,7,OK,2393,0.29251984956122024
Oregon,36,OR,2393,1.5043877977434184
Pennsylvania,39,PA,2393,1.6297534475553699
Rhode Island,8,RI,2393,0.3343083994985374
South Carolina,10,SC,2393,0.41788549937317176
South Dakota,2,SD,2393,0.08357709987463435
Tennessee,17,TN,2393,0.710405348934392
Texas,116,TX,2393,4.8474717927287925
Utah,5,UT,2393,0.20894274968658588
Vermont,8,VT,2393,0.3343083994985374
Virginia,51,VA,2393,2.131216046803176
West Virginia,4,WV,2393,0.1671541997492687
Wisconsin,23,WI,2393,0.9611366485582951
Wyoming,3,WY,2393,0.12536564981195153
