ISO 2,count,code,flux_num,flux_percentage
Alabama,4.0,AL,765.0,0.522875816993464
Arizona,2.0,AZ,765.0,0.261437908496732
Arkansas,,AR,765.0,
California,5.0,CA,765.0,0.6535947712418301
Colorado,3.0,CO,765.0,0.39215686274509803
Connecticut,8.0,CT,765.0,1.045751633986928
Delaware,457.0,DE,765.0,59.73856209150327
District of Columbia,10.0,DC,765.0,1.3071895424836601
Florida,21.0,FL,765.0,2.7450980392156863
Georgia,8.0,GA,765.0,1.045751633986928
Idaho,,ID,765.0,
Illinois,10.0,IL,765.0,1.3071895424836601
Indiana,1.0,IN,765.0,0.130718954248366
Iowa,4.0,IA,765.0,0.522875816993464
Kansas,6.0,KS,765.0,0.7843137254901961
Kentucky,3.0,KY,765.0,0.39215686274509803
Louisiana,2.0,LA,765.0,0.261437908496732
Maine,,ME,765.0,
Maryland,22.0,MD,765.0,2.8758169934640523
Massachusetts,3.0,MA,765.0,0.39215686274509803
Michigan,1.0,MI,765.0,0.130718954248366
Minnesota,3.0,MN,765.0,0.39215686274509803
Mississippi,,MS,765.0,
Missouri,,MO,765.0,
Montana,,MT,765.0,
Nebraska,,NE,765.0,
Nevada,2.0,NV,765.0,0.261437908496732
New Hampshire,,NH,765.0,
New Jersey,53.0,NJ,765.0,6.928104575163399
New Mexico,,NM,765.0,
New York,34.0,NY,765.0,4.444444444444445
North Carolina,5.0,NC,765.0,0.6535947712418301
North Dakota,,ND,765.0,
Ohio,8.0,OH,765.0,1.045751633986928
Oklahoma,1.0,OK,765.0,0.130718954248366
Oregon,6.0,OR,765.0,0.7843137254901961
Pennsylvania,32.0,PA,765.0,4.183006535947712
Rhode Island,5.0,RI,765.0,0.6535947712418301
South Carolina,3.0,SC,765.0,0.39215686274509803
South Dakota,,SD,765.0,
Tennessee,5.0,TN,765.0,0.6535947712418301
Texas,24.0,TX,765.0,3.1372549019607843
Utah,4.0,UT,765.0,0.522875816993464
Vermont,1.0,VT,765.0,0.130718954248366
Virginia,7.0,VA,765.0,0.9150326797385622
West Virginia,,WV,765.0,
Wisconsin,1.0,WI,765.0,0.130718954248366
Wyoming,1.0,WY,765.0,0.130718954248366
