ISO 2,count,code,flux_num,flux_percentage
Alabama,135,AL,7315,1.845522898154477
Arizona,37,AZ,7315,0.50580997949419
Arkansas,42,AR,7315,0.5741626794258373
California,144,CA,7315,1.9685577580314422
Colorado,55,CO,7315,0.7518796992481203
Connecticut,7,CT,7315,0.09569377990430622
Delaware,7,DE,7315,0.09569377990430622
District of Columbia,78,DC,7315,1.0663021189336979
Florida,481,FL,7315,6.575529733424471
Georgia,3708,GA,7315,50.69036226930964
Idaho,11,ID,7315,0.15037593984962408
Illinois,417,IL,7315,5.700615174299385
Indiana,22,IN,7315,0.30075187969924816
Iowa,28,IA,7315,0.3827751196172249
Kansas,48,KS,7315,0.6561859193438141
Kentucky,52,KY,7315,0.710868079289132
Louisiana,72,LA,7315,0.9842788790157211
Maine,9,ME,7315,0.12303485987696514
Maryland,89,MD,7315,1.216678058783322
Massachusetts,37,MA,7315,0.50580997949419
Michigan,86,MI,7315,1.1756664388243334
Minnesota,75,MN,7315,1.0252904989747096
Mississippi,45,MS,7315,0.6151742993848257
Missouri,32,MO,7315,0.43745727956254266
Montana,1,MT,7315,0.013670539986329458
Nebraska,20,NE,7315,0.2734107997265892
Nevada,19,NV,7315,0.2597402597402597
New Hampshire,5,NH,7315,0.0683526999316473
New Jersey,21,NJ,7315,0.28708133971291866
New Mexico,10,NM,7315,0.1367053998632946
New York,337,NY,7315,4.606971975393028
North Carolina,121,NC,7315,1.6541353383458646
North Dakota,7,ND,7315,0.09569377990430622
Ohio,139,OH,7315,1.9002050580997951
Oklahoma,26,OK,7315,0.355434039644566
Oregon,40,OR,7315,0.5468215994531784
Pennsylvania,61,PA,7315,0.833902939166097
Rhode Island,5,RI,7315,0.0683526999316473
South Carolina,47,SC,7315,0.6425153793574846
South Dakota,5,SD,7315,0.0683526999316473
Tennessee,153,TN,7315,2.0915926179084074
Texas,430,TX,7315,5.878332194121668
Utah,20,UT,7315,0.2734107997265892
Vermont,1,VT,7315,0.013670539986329458
Virginia,72,VA,7315,0.9842788790157211
West Virginia,7,WV,7315,0.09569377990430622
Wisconsin,41,WI,7315,0.5604921394395079
Wyoming,10,WY,7315,0.1367053998632946
