ISO 2,count,code,flux_num,flux_percentage
Alabama,7.0,AL,2545.0,0.275049115913556
Arizona,12.0,AZ,2545.0,0.4715127701375246
Arkansas,8.0,AR,2545.0,0.3143418467583497
California,36.0,CA,2545.0,1.4145383104125737
Colorado,18.0,CO,2545.0,0.7072691552062869
Connecticut,9.0,CT,2545.0,0.35363457760314343
Delaware,1.0,DE,2545.0,0.03929273084479371
District of Columbia,26.0,DC,2545.0,1.0216110019646365
Florida,35.0,FL,2545.0,1.37524557956778
Georgia,11.0,GA,2545.0,0.4322200392927309
Idaho,1.0,ID,2545.0,0.03929273084479371
Illinois,107.0,IL,2545.0,4.2043222003929275
Indiana,23.0,IN,2545.0,0.9037328094302555
Iowa,1630.0,IA,2545.0,64.04715127701375
Kansas,36.0,KS,2545.0,1.4145383104125737
Kentucky,9.0,KY,2545.0,0.35363457760314343
Louisiana,7.0,LA,2545.0,0.275049115913556
Maine,1.0,ME,2545.0,0.03929273084479371
Maryland,5.0,MD,2545.0,0.19646365422396855
Massachusetts,5.0,MA,2545.0,0.19646365422396855
Michigan,27.0,MI,2545.0,1.0609037328094302
Minnesota,36.0,MN,2545.0,1.4145383104125737
Mississippi,9.0,MS,2545.0,0.35363457760314343
Missouri,31.0,MO,2545.0,1.218074656188605
Montana,1.0,MT,2545.0,0.03929273084479371
Nebraska,41.0,NE,2545.0,1.6110019646365423
Nevada,15.0,NV,2545.0,0.5893909626719057
New Hampshire,,NH,2545.0,
New Jersey,3.0,NJ,2545.0,0.11787819253438114
New Mexico,2.0,NM,2545.0,0.07858546168958742
New York,39.0,NY,2545.0,1.5324165029469548
North Carolina,22.0,NC,2545.0,0.8644400785854618
North Dakota,4.0,ND,2545.0,0.15717092337917485
Ohio,22.0,OH,2545.0,0.8644400785854618
Oklahoma,17.0,OK,2545.0,0.6679764243614932
Oregon,6.0,OR,2545.0,0.2357563850687623
Pennsylvania,25.0,PA,2545.0,0.9823182711198428
Rhode Island,,RI,2545.0,
South Carolina,6.0,SC,2545.0,0.2357563850687623
South Dakota,5.0,SD,2545.0,0.19646365422396855
Tennessee,29.0,TN,2545.0,1.1394891944990178
Texas,138.0,TX,2545.0,5.422396856581532
Utah,8.0,UT,2545.0,0.3143418467583497
Vermont,9.0,VT,2545.0,0.35363457760314343
Virginia,23.0,VA,2545.0,0.9037328094302555
West Virginia,5.0,WV,2545.0,0.19646365422396855
Wisconsin,30.0,WI,2545.0,1.1787819253438114
Wyoming,5.0,WY,2545.0,0.19646365422396855
