ISO 2,count,code,flux_num,flux_percentage
Alabama,3.0,AL,726.0,0.4132231404958678
Arizona,7.0,AZ,726.0,0.9641873278236914
Arkansas,2.0,AR,726.0,0.27548209366391185
California,34.0,CA,726.0,4.683195592286501
Colorado,8.0,CO,726.0,1.1019283746556474
Connecticut,,CT,726.0,
Delaware,1.0,DE,726.0,0.13774104683195593
District of Columbia,10.0,DC,726.0,1.3774104683195594
Florida,19.0,FL,726.0,2.6170798898071626
Georgia,4.0,GA,726.0,0.5509641873278237
Idaho,446.0,ID,726.0,61.43250688705234
Illinois,9.0,IL,726.0,1.2396694214876034
Indiana,1.0,IN,726.0,0.13774104683195593
Iowa,1.0,IA,726.0,0.13774104683195593
Kansas,3.0,KS,726.0,0.4132231404958678
Kentucky,1.0,KY,726.0,0.13774104683195593
Louisiana,1.0,LA,726.0,0.13774104683195593
Maine,1.0,ME,726.0,0.13774104683195593
Maryland,,MD,726.0,
Massachusetts,2.0,MA,726.0,0.27548209366391185
Michigan,3.0,MI,726.0,0.4132231404958678
Minnesota,6.0,MN,726.0,0.8264462809917356
Mississippi,23.0,MS,726.0,3.1680440771349865
Missouri,,MO,726.0,
Montana,6.0,MT,726.0,0.8264462809917356
Nebraska,2.0,NE,726.0,0.27548209366391185
Nevada,7.0,NV,726.0,0.9641873278236914
New Hampshire,1.0,NH,726.0,0.13774104683195593
New Jersey,2.0,NJ,726.0,0.27548209366391185
New Mexico,,NM,726.0,
New York,23.0,NY,726.0,3.1680440771349865
North Carolina,1.0,NC,726.0,0.13774104683195593
North Dakota,,ND,726.0,
Ohio,8.0,OH,726.0,1.1019283746556474
Oklahoma,,OK,726.0,
Oregon,19.0,OR,726.0,2.6170798898071626
Pennsylvania,1.0,PA,726.0,0.13774104683195593
Rhode Island,,RI,726.0,
South Carolina,2.0,SC,726.0,0.27548209366391185
South Dakota,,SD,726.0,
Tennessee,1.0,TN,726.0,0.13774104683195593
Texas,38.0,TX,726.0,5.234159779614325
Utah,17.0,UT,726.0,2.3415977961432506
Vermont,5.0,VT,726.0,0.6887052341597797
Virginia,2.0,VA,726.0,0.27548209366391185
West Virginia,2.0,WV,726.0,0.27548209366391185
Wisconsin,1.0,WI,726.0,0.13774104683195593
Wyoming,3.0,WY,726.0,0.4132231404958678
