ISO 2,count,code,flux_num,flux_percentage
Alabama,28.0,AL,4014.0,0.6975585450921774
Arizona,22.0,AZ,4014.0,0.5480817140009965
Arkansas,9.0,AR,4014.0,0.2242152466367713
California,54.0,CA,4014.0,1.345291479820628
Colorado,20.0,CO,4014.0,0.4982561036372696
Connecticut,6.0,CT,4014.0,0.14947683109118087
Delaware,2.0,DE,4014.0,0.04982561036372695
District of Columbia,48.0,DC,4014.0,1.195814648729447
Florida,152.0,FL,4014.0,3.7867463876432486
Georgia,22.0,GA,4014.0,0.5480817140009965
Idaho,4.0,ID,4014.0,0.0996512207274539
Illinois,188.0,IL,4014.0,4.683607374190333
Indiana,2423.0,IN,4014.0,60.3637269556552
Iowa,31.0,IA,4014.0,0.7722969606377678
Kansas,49.0,KS,4014.0,1.2207274539113104
Kentucky,61.0,KY,4014.0,1.519681116093672
Louisiana,7.0,LA,4014.0,0.17438963627304435
Maine,2.0,ME,4014.0,0.04982561036372695
Maryland,20.0,MD,4014.0,0.4982561036372696
Massachusetts,20.0,MA,4014.0,0.4982561036372696
Michigan,86.0,MI,4014.0,2.142501245640259
Minnesota,21.0,MN,4014.0,0.523168908819133
Mississippi,13.0,MS,4014.0,0.32386646736422525
Missouri,16.0,MO,4014.0,0.3986048829098156
Montana,4.0,MT,4014.0,0.0996512207274539
Nebraska,16.0,NE,4014.0,0.3986048829098156
Nevada,10.0,NV,4014.0,0.2491280518186348
New Hampshire,4.0,NH,4014.0,0.0996512207274539
New Jersey,13.0,NJ,4014.0,0.32386646736422525
New Mexico,1.0,NM,4014.0,0.024912805181863475
New York,90.0,NY,4014.0,2.242152466367713
North Carolina,18.0,NC,4014.0,0.4484304932735426
North Dakota,,ND,4014.0,
Ohio,111.0,OH,4014.0,2.7653213751868457
Oklahoma,15.0,OK,4014.0,0.37369207772795215
Oregon,16.0,OR,4014.0,0.3986048829098156
Pennsylvania,45.0,PA,4014.0,1.1210762331838564
Rhode Island,2.0,RI,4014.0,0.04982561036372695
South Carolina,4.0,SC,4014.0,0.0996512207274539
South Dakota,3.0,SD,4014.0,0.07473841554559044
Tennessee,55.0,TN,4014.0,1.3702042850024914
Texas,205.0,TX,4014.0,5.107125062282012
Utah,8.0,UT,4014.0,0.1993024414549078
Vermont,1.0,VT,4014.0,0.024912805181863475
Virginia,32.0,VA,4014.0,0.7972097658196312
West Virginia,10.0,WV,4014.0,0.2491280518186348
Wisconsin,47.0,WI,4014.0,1.1709018435475833
Wyoming,,WY,4014.0,
