ISO 2,count,code,flux_num,flux_percentage
Alabama,3.0,AL,2211.0,0.13568521031207598
Arizona,8.0,AZ,2211.0,0.3618272274988693
Arkansas,4.0,AR,2211.0,0.18091361374943465
California,52.0,CA,2211.0,2.3518769787426503
Colorado,22.0,CO,2211.0,0.9950248756218906
Connecticut,1.0,CT,2211.0,0.045228403437358664
Delaware,1.0,DE,2211.0,0.045228403437358664
District of Columbia,20.0,DC,2211.0,0.9045680687471733
Florida,42.0,FL,2211.0,1.8995929443690638
Georgia,13.0,GA,2211.0,0.5879692446856626
Idaho,,ID,2211.0,
Illinois,65.0,IL,2211.0,2.939846223428313
Indiana,9.0,IN,2211.0,0.40705563093622793
Iowa,10.0,IA,2211.0,0.45228403437358666
Kansas,1341.0,KS,2211.0,60.651289009497965
Kentucky,6.0,KY,2211.0,0.27137042062415195
Louisiana,5.0,LA,2211.0,0.22614201718679333
Maine,1.0,ME,2211.0,0.045228403437358664
Maryland,8.0,MD,2211.0,0.3618272274988693
Massachusetts,6.0,MA,2211.0,0.27137042062415195
Michigan,13.0,MI,2211.0,0.5879692446856626
Minnesota,9.0,MN,2211.0,0.40705563093622793
Mississippi,1.0,MS,2211.0,0.045228403437358664
Missouri,118.0,MO,2211.0,5.336951605608322
Montana,,MT,2211.0,
Nebraska,17.0,NE,2211.0,0.7688828584350972
Nevada,7.0,NV,2211.0,0.31659882406151063
New Hampshire,1.0,NH,2211.0,0.045228403437358664
New Jersey,3.0,NJ,2211.0,0.13568521031207598
New Mexico,4.0,NM,2211.0,0.18091361374943465
New York,72.0,NY,2211.0,3.2564450474898234
North Carolina,12.0,NC,2211.0,0.5427408412483039
North Dakota,,ND,2211.0,
Ohio,33.0,OH,2211.0,1.4925373134328357
Oklahoma,24.0,OK,2211.0,1.0854816824966078
Oregon,7.0,OR,2211.0,0.31659882406151063
Pennsylvania,51.0,PA,2211.0,2.3066485753052914
Rhode Island,,RI,2211.0,
South Carolina,2.0,SC,2211.0,0.09045680687471733
South Dakota,5.0,SD,2211.0,0.22614201718679333
Tennessee,8.0,TN,2211.0,0.3618272274988693
Texas,173.0,TX,2211.0,7.824513794663049
Utah,8.0,UT,2211.0,0.3618272274988693
Vermont,5.0,VT,2211.0,0.22614201718679333
Virginia,7.0,VA,2211.0,0.31659882406151063
West Virginia,3.0,WV,2211.0,0.13568521031207598
Wisconsin,8.0,WI,2211.0,0.3618272274988693
Wyoming,3.0,WY,2211.0,0.13568521031207598
