ISO 2,count,code,flux_num,flux_percentage
Alabama,40.0,AL,3230.0,1.238390092879257
Arizona,13.0,AZ,3230.0,0.4024767801857585
Arkansas,15.0,AR,3230.0,0.46439628482972134
California,45.0,CA,3230.0,1.393188854489164
Colorado,10.0,CO,3230.0,0.30959752321981426
Connecticut,4.0,CT,3230.0,0.12383900928792571
Delaware,4.0,DE,3230.0,0.12383900928792571
District of Columbia,39.0,DC,3230.0,1.2074303405572755
Florida,94.0,FL,3230.0,2.910216718266254
Georgia,27.0,GA,3230.0,0.8359133126934984
Idaho,1.0,ID,3230.0,0.030959752321981428
Illinois,89.0,IL,3230.0,2.7554179566563466
Indiana,51.0,IN,3230.0,1.5789473684210527
Iowa,7.0,IA,3230.0,0.21671826625386997
Kansas,37.0,KS,3230.0,1.1455108359133126
Kentucky,1910.0,KY,3230.0,59.133126934984524
Louisiana,16.0,LA,3230.0,0.49535603715170284
Maine,2.0,ME,3230.0,0.061919504643962855
Maryland,10.0,MD,3230.0,0.30959752321981426
Massachusetts,12.0,MA,3230.0,0.37151702786377705
Michigan,39.0,MI,3230.0,1.2074303405572755
Minnesota,15.0,MN,3230.0,0.46439628482972134
Mississippi,11.0,MS,3230.0,0.3405572755417957
Missouri,18.0,MO,3230.0,0.5572755417956656
Montana,1.0,MT,3230.0,0.030959752321981428
Nebraska,9.0,NE,3230.0,0.2786377708978328
Nevada,11.0,NV,3230.0,0.3405572755417957
New Hampshire,,NH,3230.0,
New Jersey,4.0,NJ,3230.0,0.12383900928792571
New Mexico,1.0,NM,3230.0,0.030959752321981428
New York,69.0,NY,3230.0,2.1362229102167185
North Carolina,26.0,NC,3230.0,0.804953560371517
North Dakota,2.0,ND,3230.0,0.061919504643962855
Ohio,156.0,OH,3230.0,4.829721362229102
Oklahoma,3.0,OK,3230.0,0.09287925696594426
Oregon,16.0,OR,3230.0,0.49535603715170284
Pennsylvania,26.0,PA,3230.0,0.804953560371517
Rhode Island,9.0,RI,3230.0,0.2786377708978328
South Carolina,19.0,SC,3230.0,0.5882352941176471
South Dakota,3.0,SD,3230.0,0.09287925696594426
Tennessee,99.0,TN,3230.0,3.0650154798761613
Texas,194.0,TX,3230.0,6.006191950464396
Utah,3.0,UT,3230.0,0.09287925696594426
Vermont,6.0,VT,3230.0,0.18575851393188852
Virginia,46.0,VA,3230.0,1.4241486068111455
West Virginia,6.0,WV,3230.0,0.18575851393188852
Wisconsin,10.0,WI,3230.0,0.30959752321981426
Wyoming,2.0,WY,3230.0,0.061919504643962855
